email_event_id,hubspot_contact_id,lead_id,event_datetime,event_type,campaign_id,email_name
HEM000034,HS103585,LED003585,2025-02-02T02:00:00,Opened,CMP000013,Webinar Invite
HEM000035,HS100964,LED000964,2025-09-26T11:00:00,Delivered,CMP000017,CRM Audit Offer
HEM000036,HS103707,LED003707,2026-05-09T22:00:00,Opened,CMP000013,Nurture 2 - Case Study
HEM000037,,LED003402,2026-06-30T00:00:00,Delivered,CMP000034,Post-Demo Follow Up
HEM000038,HS100697,LED000697,2025-03-20T23:00:00,Delivered,CMP000028,Webinar Invite
HEM000039,HS103767,LED003767,2026-06-30T00:00:00,Delivered,CMP000032,Post-Demo Follow Up
HEM000040,,LED000495,2026-05-14T22:00:00,Bounced,CMP000024,Quarterly Newsletter
HEM000041,HS103565,LED003565,2025-11-12T13:00:00,Clicked,CMP000015,Quarterly Newsletter
HEM000042,HS101039,LED001039,2025-07-04T23:00:00,Delivered,CMP000020,Nurture 2 - Case Study
HEM000043,HS103605,LED003605,2026-03-16T03:00:00,Delivered,CMP000022,Quarterly Newsletter
HEM000044,HS100224,LED000224,2026-06-30T00:00:00,Opened,CMP000006,Nurture 1 - Pain Point
HEM000045,HS102214,LED002214,2026-03-02T19:00:00,Unsubscribed,CMP000005,Nurture 1 - Pain Point
HEM000046,HS101586,LED001586,2025-03-24T22:00:00,Clicked,CMP000026,Nurture 2 - Case Study
HEM000047,HS100954,LED000954,2025-05-07T05:00:00,Opened,CMP000036,Quarterly Newsletter
HEM000048,HS102314,LED002314,2026-06-30T00:00:00,Delivered,CMP000005,Post-Demo Follow Up
HEM000049,HS100329,LED000329,2026-06-18T10:00:00,Opened,CMP000016,CRM Audit Offer
HEM000050,HS100410,LED000410,2026-01-30T10:00:00,Clicked,CMP000013,Quarterly Newsletter
HEM000051,HS100897,LED000897,2026-04-09T20:00:00,Delivered,CMP000025,Nurture 1 - Pain Point
HEM000052,HS103096,LED003096,2025-08-13T09:00:00,Delivered,CMP000025,CRM Audit Offer
HEM000053,,LED002169,2025-04-23T08:00:00,Opened,CMP000026,CRM Audit Offer
HEM000054,HS103758,LED003758,2026-06-30T00:00:00,Opened,CMP000018,Webinar Invite
HEM000055,HS103104,LED003104,2026-06-30T00:00:00,Delivered,CMP000020,Nurture 1 - Pain Point
HEM000056,HS101276,LED001276,2025-12-28T15:00:00,Bounced,CMP000006,Webinar Invite
HEM000057,HS100474,LED000474,2026-02-16T02:00:00,Delivered,CMP000001,Nurture 1 - Pain Point
HEM000058,HS102323,LED002323,2025-11-23T17:00:00,Delivered,,CRM Audit Offer
HEM000059,HS104102,LED004102,2025-10-27T08:00:00,Replied,CMP000019,Post-Demo Follow Up
HEM000060,HS101729,LED001729,2026-01-11T09:00:00,Unsubscribed,CMP000005,CRM Audit Offer
HEM000061,HS104149,LED004149,2025-09-19T04:00:00,Opened,CMP000030,CRM Audit Offer
HEM000062,HS103004,LED003004,2025-06-22T00:00:00,Delivered,CMP000023,Nurture 2 - Case Study
HEM000063,,LED003773,2026-03-07T18:00:00,Opened,CMP000015,Post-Demo Follow Up
HEM000064,HS103697,LED003697,2026-06-24T20:00:00,Clicked,CMP000001,Quarterly Newsletter
HEM000065,HS103061,LED003061,2025-06-04T10:00:00,Opened,CMP000036,CRM Audit Offer
HEM000066,HS103717,LED003717,2026-06-05T04:00:00,Opened,CMP000028,CRM Audit Offer
HEM000067,HS102551,LED002551,2026-06-30T00:00:00,Opened,CMP000014,Nurture 2 - Case Study
HEM000068,HS103243,LED003243,2025-06-13T14:00:00,Delivered,,Post-Demo Follow Up
HEM000069,HS101953,LED001953,2026-06-30T00:00:00,Bounced,CMP000017,Nurture 2 - Case Study
HEM000070,HS100281,LED000281,2025-05-10T10:00:00,Opened,CMP000034,Quarterly Newsletter
HEM000071,HS100430,LED000430,2025-06-03T18:00:00,Opened,CMP000023,CRM Audit Offer
HEM000072,HS103902,LED003902,2025-05-11T04:00:00,Opened,CMP000025,Post-Demo Follow Up
HEM000073,HS100192,LED000192,2026-02-18T08:00:00,Opened,CMP000027,Webinar Invite
HEM000074,,LED002438,2026-03-19T12:00:00,Opened,,Post-Demo Follow Up
HEM000075,HS100025,LED000025,2025-05-24T15:00:00,Bounced,CMP000025,Post-Demo Follow Up
HEM000076,HS102861,LED002861,2025-10-09T08:00:00,Opened,CMP000033,Nurture 2 - Case Study
HEM000077,HS102374,LED002374,2026-06-30T00:00:00,Delivered,CMP000018,Nurture 2 - Case Study
HEM000078,,LED001377,2025-03-14T14:00:00,Opened,CMP000008,Nurture 1 - Pain Point
HEM000079,HS103400,LED003400,2025-09-13T04:00:00,Delivered,CMP000033,Post-Demo Follow Up
HEM000080,HS100011,LED000011,2025-08-27T06:00:00,Delivered,CMP000024,Webinar Invite
HEM000081,HS103417,LED003417,2025-03-23T23:00:00,Delivered,CMP000031,Nurture 2 - Case Study
HEM000082,HS102440,LED002440,2025-12-04T23:00:00,Delivered,CMP000016,CRM Audit Offer
HEM000083,HS104179,LED004179,2025-02-06T21:00:00,Delivered,CMP000032,Webinar Invite
HEM000084,HS101977,LED001977,2025-09-09T06:00:00,Replied,CMP000009,Nurture 2 - Case Study
HEM000085,HS100346,LED000346,2025-09-19T21:00:00,Replied,CMP000011,Nurture 2 - Case Study
HEM000086,HS100152,LED000152,2026-05-29T19:00:00,Opened,CMP000011,Post-Demo Follow Up
HEM000087,HS100625,LED000625,2026-05-31T20:00:00,Clicked,CMP000002,Webinar Invite
HEM000088,HS100475,LED000475,2025-12-11T05:00:00,Clicked,CMP000011,Post-Demo Follow Up
HEM000089,HS102010,LED002010,2025-07-26T20:00:00,Delivered,CMP000036,Nurture 2 - Case Study
HEM000090,HS100899,LED000899,2025-09-30T02:00:00,Opened,CMP000014,Nurture 2 - Case Study
HEM000091,HS100543,LED000543,2026-04-28T15:00:00,Delivered,CMP000027,CRM Audit Offer
HEM000092,HS101479,LED001479,2026-06-25T06:00:00,Delivered,CMP000015,Post-Demo Follow Up
HEM000093,HS102319,LED002319,2026-03-12T18:00:00,Opened,,Nurture 1 - Pain Point
HEM000094,HS101066,LED001066,2025-11-14T20:00:00,Delivered,CMP000024,Nurture 1 - Pain Point
HEM000095,HS100303,LED000303,2025-03-22T04:00:00,Delivered,CMP000014,Post-Demo Follow Up
HEM000096,HS102617,LED002617,2025-06-14T18:00:00,Bounced,CMP000030,CRM Audit Offer
HEM000097,HS103727,LED003727,2026-06-30T00:00:00,Bounced,CMP000026,Nurture 2 - Case Study
HEM000098,HS102163,LED002163,2026-06-19T14:00:00,Replied,CMP000008,Quarterly Newsletter
HEM000099,HS101981,LED001981,2025-08-30T15:00:00,Delivered,CMP000031,Webinar Invite
HEM000100,HS103359,LED003359,2025-12-19T18:00:00,Bounced,CMP000021,CRM Audit Offer
HEM000101,HS102629,LED002629,2026-01-03T08:00:00,Opened,CMP000026,Post-Demo Follow Up
HEM000102,HS101537,LED001537,2025-08-11T07:00:00,Clicked,CMP000012,Nurture 1 - Pain Point
HEM000103,HS102883,LED002883,2026-01-10T04:00:00,Delivered,CMP000003,Webinar Invite
HEM000104,HS101444,LED001444,2025-12-29T14:00:00,Delivered,CMP000030,Nurture 2 - Case Study
HEM000105,HS102034,LED002034,2026-04-16T13:00:00,Opened,CMP000001,Quarterly Newsletter
HEM000106,HS101663,LED001663,2026-06-30T00:00:00,Delivered,,Nurture 2 - Case Study
HEM000107,HS103864,LED003864,2026-06-30T00:00:00,Delivered,CMP000005,Quarterly Newsletter
HEM000108,HS103950,LED003950,2026-06-30T00:00:00,Delivered,CMP000019,Nurture 2 - Case Study
HEM000109,HS103419,LED003419,2025-05-24T05:00:00,Delivered,CMP000034,Nurture 2 - Case Study
HEM000110,HS100563,LED000563,2025-10-20T18:00:00,Clicked,CMP000001,CRM Audit Offer
HEM000111,,LED002859,2026-06-30T00:00:00,Delivered,CMP000004,Webinar Invite
HEM000112,HS104124,LED004124,2025-12-10T20:00:00,Unsubscribed,CMP000014,CRM Audit Offer
HEM000113,HS100150,LED000150,2026-03-21T01:00:00,Delivered,CMP000003,Quarterly Newsletter
HEM000114,HS100917,LED000917,2025-08-14T03:00:00,Opened,CMP000014,Post-Demo Follow Up
HEM000115,HS101501,LED001501,2026-01-24T00:00:00,Delivered,CMP000024,Webinar Invite
HEM000116,HS101635,LED001635,2025-04-08T00:00:00,Delivered,CMP000027,Post-Demo Follow Up
HEM000117,HS102004,LED002004,2026-03-04T06:00:00,Opened,CMP000009,Webinar Invite
HEM000118,HS100961,LED000961,2025-10-01T23:00:00,Bounced,,Nurture 1 - Pain Point
HEM000119,HS103933,LED003933,2025-04-24T10:00:00,Delivered,CMP000001,Nurture 2 - Case Study
HEM000120,HS102385,LED002385,2025-05-11T16:00:00,Opened,CMP000023,Webinar Invite
HEM000121,HS101743,LED001743,2026-06-30T00:00:00,Delivered,CMP000035,Nurture 1 - Pain Point
HEM000122,HS103551,LED003551,2025-12-24T23:00:00,Opened,CMP000011,Quarterly Newsletter
HEM000123,HS100275,LED000275,2026-06-10T09:00:00,Bounced,CMP000028,Nurture 2 - Case Study
HEM000124,HS101782,LED001782,2025-08-04T08:00:00,Clicked,CMP000019,Nurture 1 - Pain Point
HEM000125,,LED001969,2025-11-08T06:00:00,Delivered,CMP000017,Post-Demo Follow Up
HEM000126,HS100831,LED000831,2025-07-07T23:00:00,Opened,CMP000015,Webinar Invite
HEM000127,HS101122,LED001122,2026-04-22T10:00:00,Opened,CMP000035,Nurture 1 - Pain Point
HEM000128,HS103018,LED003018,2025-11-23T09:00:00,Delivered,CMP000032,Post-Demo Follow Up
HEM000129,HS101863,LED001863,2025-08-30T18:00:00,Delivered,CMP000021,Webinar Invite
HEM000130,HS101473,LED001473,2025-03-05T02:00:00,Opened,,CRM Audit Offer
HEM000131,HS102718,LED002718,2025-03-07T06:00:00,Delivered,CMP000013,Nurture 1 - Pain Point
HEM000132,HS103772,LED003772,2026-02-27T09:00:00,Opened,CMP000006,Webinar Invite
HEM000133,HS103476,LED003476,2026-05-18T23:00:00,Delivered,CMP000008,Webinar Invite
HEM000134,HS103479,LED003479,2026-05-11T12:00:00,Delivered,,Webinar Invite
HEM000135,HS102499,LED002499,2026-02-23T04:00:00,Delivered,CMP000019,Quarterly Newsletter
HEM000136,HS101351,LED001351,2025-10-17T20:00:00,Opened,CMP000020,Webinar Invite
HEM000137,HS101127,LED001127,2026-03-15T01:00:00,Delivered,CMP000011,CRM Audit Offer
HEM000138,,LED001077,2025-09-11T10:00:00,Delivered,CMP000026,Post-Demo Follow Up
HEM000139,HS101526,LED001526,2025-09-17T11:00:00,Delivered,CMP000002,Post-Demo Follow Up
HEM000140,HS103536,LED003536,2025-06-17T01:00:00,Opened,CMP000036,Post-Demo Follow Up
HEM000141,HS102995,LED002995,2026-06-30T00:00:00,Opened,CMP000023,Nurture 1 - Pain Point
HEM000142,,LED000365,2025-10-11T18:00:00,Delivered,CMP000028,Quarterly Newsletter
HEM000143,HS102268,LED002268,2025-02-21T18:00:00,Opened,CMP000030,Nurture 1 - Pain Point
HEM000144,HS100112,LED000112,2025-10-25T15:00:00,Opened,CMP000010,Nurture 1 - Pain Point
HEM000145,,LED000714,2026-06-30T00:00:00,Delivered,CMP000010,Webinar Invite
HEM000146,HS101897,LED001897,2026-02-26T11:00:00,Opened,CMP000033,Nurture 1 - Pain Point
HEM000147,HS103094,LED003094,2026-05-13T05:00:00,Opened,CMP000030,Nurture 1 - Pain Point
HEM000148,HS104154,LED004154,2026-06-30T00:00:00,Delivered,CMP000012,CRM Audit Offer
HEM000149,HS103083,LED003083,2025-08-23T04:00:00,Delivered,CMP000006,Nurture 2 - Case Study
HEM000150,HS101978,LED001978,2026-04-03T03:00:00,Replied,CMP000027,Quarterly Newsletter
HEM000151,HS100454,LED000454,2025-05-13T16:00:00,Delivered,CMP000006,Nurture 2 - Case Study
HEM000152,HS101150,LED001150,2025-08-14T20:00:00,Delivered,CMP000032,Quarterly Newsletter
HEM000153,HS100373,LED000373,2025-11-11T11:00:00,Delivered,,Nurture 1 - Pain Point
HEM000154,HS102804,LED002804,2025-04-24T01:00:00,Delivered,,Webinar Invite
HEM000155,HS103067,LED003067,2025-11-10T09:00:00,Delivered,CMP000006,Nurture 2 - Case Study
HEM000156,HS102651,LED002651,2025-10-13T13:00:00,Delivered,CMP000024,CRM Audit Offer
HEM000157,HS101717,LED001717,2025-04-18T22:00:00,Opened,CMP000017,Quarterly Newsletter
HEM000158,HS102739,LED002739,2026-02-04T21:00:00,Delivered,CMP000006,Post-Demo Follow Up
HEM000159,HS103821,LED003821,2025-11-11T04:00:00,Replied,CMP000001,Nurture 2 - Case Study
HEM000160,HS101971,LED001971,2025-12-01T11:00:00,Clicked,CMP000008,Post-Demo Follow Up
HEM000161,HS100220,LED000220,2026-04-29T00:00:00,Opened,CMP000007,Nurture 2 - Case Study
HEM000162,HS101086,LED001086,2026-05-22T03:00:00,Bounced,CMP000009,Post-Demo Follow Up
HEM000163,HS100091,LED000091,2026-06-30T00:00:00,Delivered,CMP000013,Post-Demo Follow Up
HEM000164,HS102882,LED002882,2026-05-09T12:00:00,Unsubscribed,CMP000012,Quarterly Newsletter
HEM000165,HS102132,LED002132,2025-07-17T18:00:00,Opened,CMP000002,CRM Audit Offer
HEM000166,HS103104,LED003104,2026-06-30T00:00:00,Delivered,CMP000034,Post-Demo Follow Up
HEM000167,HS104192,LED004192,2026-06-30T00:00:00,Delivered,CMP000017,Webinar Invite
HEM000168,HS102259,LED002259,2025-12-09T16:00:00,Clicked,CMP000018,CRM Audit Offer
HEM000169,,LED000667,2026-05-11T02:00:00,Opened,CMP000003,Nurture 1 - Pain Point
HEM000170,HS103252,LED003252,2026-03-08T00:00:00,Delivered,CMP000023,CRM Audit Offer
HEM000171,HS102357,LED002357,2026-05-07T17:00:00,Delivered,CMP000007,Quarterly Newsletter
HEM000172,HS103375,LED003375,2025-02-13T16:00:00,Opened,CMP000033,Webinar Invite
HEM000173,HS102799,LED002799,2025-11-23T18:00:00,Delivered,,CRM Audit Offer
HEM000174,,LED001154,2025-05-28T00:00:00,Delivered,CMP000014,Quarterly Newsletter
HEM000175,HS103485,LED003485,2025-08-04T09:00:00,Clicked,,Nurture 1 - Pain Point
HEM000176,HS102679,LED002679,2025-02-15T18:00:00,Delivered,CMP000034,Post-Demo Follow Up
HEM000177,,LED003402,2026-06-30T00:00:00,Delivered,CMP000028,Nurture 1 - Pain Point
HEM000178,HS102790,LED002790,2026-06-30T00:00:00,Clicked,,Quarterly Newsletter
HEM000179,HS100376,LED000376,2026-04-16T19:00:00,Opened,CMP000026,Nurture 2 - Case Study
HEM000180,HS101380,LED001380,2026-06-20T18:00:00,Opened,CMP000031,Nurture 2 - Case Study
HEM000181,HS101337,LED001337,2025-03-18T23:00:00,Delivered,,Nurture 2 - Case Study
HEM000182,HS102432,LED002432,2025-10-15T16:00:00,Opened,CMP000021,Nurture 2 - Case Study
HEM000183,HS101134,LED001134,2026-04-26T09:00:00,Opened,CMP000029,Webinar Invite
HEM000184,HS102054,LED002054,2025-09-20T12:00:00,Bounced,CMP000017,Post-Demo Follow Up
HEM000185,HS101814,LED001814,2025-09-28T06:00:00,Bounced,CMP000019,Post-Demo Follow Up
HEM000186,HS100174,LED000174,2026-06-30T00:00:00,Bounced,CMP000017,Nurture 2 - Case Study
HEM000187,HS100459,LED000459,2026-06-22T07:00:00,Delivered,CMP000008,Nurture 2 - Case Study
HEM000188,HS101806,LED001806,2026-06-30T00:00:00,Delivered,CMP000007,Nurture 1 - Pain Point
HEM000189,HS101007,LED001007,2026-06-10T11:00:00,Clicked,CMP000030,Quarterly Newsletter
HEM000190,HS102283,LED002283,2025-04-17T14:00:00,Clicked,CMP000030,Nurture 2 - Case Study
HEM000191,HS100718,LED000718,2025-07-07T19:00:00,Delivered,CMP000016,Post-Demo Follow Up
HEM000192,HS103817,LED003817,2025-06-06T20:00:00,Clicked,CMP000005,Quarterly Newsletter
HEM000193,HS102473,LED002473,2026-04-09T10:00:00,Delivered,CMP000019,CRM Audit Offer
HEM000194,HS100502,LED000502,2026-02-26T10:00:00,Opened,CMP000022,CRM Audit Offer
HEM000195,HS102991,LED002991,2025-10-22T12:00:00,Replied,CMP000013,Nurture 1 - Pain Point
HEM000196,,LED004063,2026-06-30T00:00:00,Delivered,CMP000004,Nurture 2 - Case Study
HEM000197,HS102034,LED002034,2026-04-20T13:00:00,Delivered,CMP000021,Nurture 2 - Case Study
HEM000198,,LED000676,2026-04-05T12:00:00,Delivered,CMP000034,Post-Demo Follow Up
HEM000199,HS102709,LED002709,2025-05-11T10:00:00,Opened,CMP000010,Nurture 1 - Pain Point
HEM000200,HS100308,LED000308,2025-08-22T06:00:00,Clicked,CMP000010,Nurture 2 - Case Study
HEM000201,HS103620,LED003620,2026-06-30T00:00:00,Opened,CMP000011,Post-Demo Follow Up
HEM000202,HS102841,LED002841,2025-04-14T22:00:00,Opened,CMP000006,Quarterly Newsletter
HEM000203,HS103777,LED003777,2026-01-29T08:00:00,Opened,CMP000036,Nurture 1 - Pain Point
HEM000204,HS103856,LED003856,2025-09-17T11:00:00,Delivered,,Webinar Invite
HEM000205,HS101304,LED001304,2025-03-17T09:00:00,Opened,CMP000008,Nurture 2 - Case Study
HEM000206,HS101496,LED001496,2026-03-04T07:00:00,Clicked,CMP000029,CRM Audit Offer
HEM000207,,LED000820,2025-05-20T07:00:00,Delivered,CMP000015,Post-Demo Follow Up
HEM000208,HS103160,LED003160,2025-12-27T23:00:00,Delivered,CMP000026,Webinar Invite
HEM000209,,LED001630,2025-07-15T09:00:00,Delivered,CMP000003,Webinar Invite
HEM000210,,LED002500,2025-04-06T10:00:00,Opened,CMP000035,Quarterly Newsletter
HEM000211,HS101664,LED001664,2025-03-04T20:00:00,Delivered,CMP000019,Post-Demo Follow Up
HEM000212,HS103021,LED003021,2025-10-10T07:00:00,Delivered,CMP000025,CRM Audit Offer
HEM000213,HS103113,LED003113,2026-01-23T15:00:00,Bounced,CMP000026,Post-Demo Follow Up
HEM000214,HS102551,LED002551,2026-05-15T17:00:00,Delivered,CMP000026,Quarterly Newsletter
HEM000215,HS103610,LED003610,2025-06-18T05:00:00,Delivered,CMP000032,Nurture 2 - Case Study
HEM000216,HS103231,LED003231,2025-04-08T11:00:00,Delivered,CMP000017,Nurture 2 - Case Study
HEM000217,HS102779,LED002779,2025-08-18T13:00:00,Delivered,CMP000009,Quarterly Newsletter
HEM000218,HS102968,LED002968,2026-05-05T12:00:00,Delivered,,Webinar Invite
HEM000219,HS102436,LED002436,2026-06-30T00:00:00,Clicked,CMP000005,Quarterly Newsletter
HEM000220,HS103908,LED003908,2026-03-15T02:00:00,Delivered,CMP000032,Post-Demo Follow Up
HEM000221,HS103938,LED003938,2025-08-19T06:00:00,Delivered,CMP000014,Nurture 2 - Case Study
HEM000222,HS100951,LED000951,2025-05-05T03:00:00,Clicked,CMP000031,Nurture 2 - Case Study
HEM000223,HS101614,LED001614,2026-04-22T09:00:00,Delivered,CMP000001,Post-Demo Follow Up
HEM000224,HS100624,LED000624,2025-07-04T05:00:00,Opened,CMP000033,Nurture 2 - Case Study
HEM000225,HS102378,LED002378,2025-05-24T11:00:00,Bounced,CMP000030,Webinar Invite
HEM000226,HS100039,LED000039,2026-03-25T00:00:00,Delivered,CMP000030,Nurture 2 - Case Study
HEM000227,HS104123,LED004123,2025-09-11T20:00:00,Unsubscribed,CMP000015,Quarterly Newsletter
HEM000228,HS101503,LED001503,2025-06-08T08:00:00,Clicked,CMP000016,Post-Demo Follow Up
HEM000229,,LED003050,2026-01-20T07:00:00,Delivered,CMP000008,CRM Audit Offer
HEM000230,HS104122,LED004122,2026-03-30T14:00:00,Delivered,CMP000002,Quarterly Newsletter
HEM000231,HS103925,LED003925,2026-06-12T13:00:00,Delivered,CMP000006,Quarterly Newsletter
HEM000232,HS102902,LED002902,2025-12-03T08:00:00,Clicked,CMP000030,Nurture 2 - Case Study
HEM000233,HS103507,LED003507,2025-08-26T21:00:00,Delivered,CMP000028,Quarterly Newsletter
HEM000234,HS101567,LED001567,2026-03-18T02:00:00,Delivered,CMP000031,Nurture 2 - Case Study
HEM000235,HS103954,LED003954,2026-06-30T00:00:00,Opened,CMP000016,Nurture 1 - Pain Point
HEM000236,HS100474,LED000474,2026-01-27T18:00:00,Delivered,CMP000010,Nurture 2 - Case Study
HEM000237,HS103256,LED003256,2026-04-11T13:00:00,Delivered,CMP000023,Nurture 1 - Pain Point
HEM000238,HS101056,LED001056,2025-08-29T23:00:00,Opened,CMP000016,Nurture 1 - Pain Point
HEM000239,HS102275,LED002275,2026-06-30T00:00:00,Opened,CMP000005,Nurture 2 - Case Study
HEM000240,HS103327,LED003327,2025-11-18T18:00:00,Opened,,Post-Demo Follow Up
HEM000241,HS102805,LED002805,2026-02-24T20:00:00,Delivered,CMP000022,Nurture 1 - Pain Point
HEM000242,HS103293,LED003293,2026-03-22T05:00:00,Clicked,CMP000015,Nurture 2 - Case Study
HEM000243,,LED003602,2025-12-02T05:00:00,Delivered,CMP000019,CRM Audit Offer
HEM000244,HS102835,LED002835,2025-04-03T04:00:00,Delivered,CMP000005,Webinar Invite
HEM000245,HS102803,LED002803,2026-06-30T00:00:00,Replied,,Quarterly Newsletter
HEM000246,,LED000942,2026-03-23T02:00:00,Opened,CMP000005,CRM Audit Offer
HEM000247,,LED003574,2025-09-04T17:00:00,Replied,,CRM Audit Offer
HEM000248,HS103666,LED003666,2026-06-30T00:00:00,Delivered,CMP000017,CRM Audit Offer
HEM000249,HS100441,LED000441,2025-07-26T04:00:00,Opened,CMP000035,Nurture 2 - Case Study
HEM000250,HS103810,LED003810,2026-03-27T09:00:00,Opened,CMP000005,Post-Demo Follow Up
HEM000251,HS103597,LED003597,2025-12-22T12:00:00,Delivered,,CRM Audit Offer
HEM000252,HS103225,LED003225,2025-07-18T12:00:00,Opened,CMP000028,Nurture 2 - Case Study
HEM000253,HS102252,LED002252,2025-08-28T11:00:00,Delivered,CMP000035,Nurture 1 - Pain Point
HEM000254,HS102672,LED002672,2026-01-31T16:00:00,Delivered,CMP000004,Nurture 2 - Case Study
HEM000255,HS102590,LED002590,2025-12-09T07:00:00,Delivered,,Nurture 2 - Case Study
HEM000256,HS103702,LED003702,2026-06-30T00:00:00,Delivered,CMP000015,CRM Audit Offer
HEM000257,HS102090,LED002090,2025-12-30T14:00:00,Delivered,CMP000009,Nurture 1 - Pain Point
HEM000258,HS100142,LED000142,2026-06-22T12:00:00,Delivered,CMP000032,Nurture 2 - Case Study
HEM000259,,LED001085,2025-05-25T21:00:00,Opened,CMP000031,CRM Audit Offer
HEM000260,HS103866,LED003866,2025-12-18T01:00:00,Opened,CMP000016,Quarterly Newsletter
HEM000261,HS101576,LED001576,2026-04-14T20:00:00,Bounced,CMP000024,Nurture 1 - Pain Point
HEM000262,HS100008,LED000008,2026-05-22T06:00:00,Opened,CMP000001,Post-Demo Follow Up
HEM000263,HS102474,LED002474,2026-02-24T17:00:00,Clicked,CMP000033,Post-Demo Follow Up
HEM000264,HS102523,LED002523,2026-04-07T18:00:00,Delivered,CMP000036,Nurture 2 - Case Study
HEM000265,HS100487,LED000487,2026-01-05T15:00:00,Opened,CMP000007,Nurture 2 - Case Study
HEM000266,,LED001816,2026-06-30T00:00:00,Opened,CMP000027,CRM Audit Offer
HEM000267,HS101304,LED001304,2025-02-04T05:00:00,Delivered,CMP000036,Quarterly Newsletter
HEM000268,,LED000183,2025-08-30T14:00:00,Delivered,CMP000022,CRM Audit Offer
HEM000269,HS101404,LED001404,2026-06-30T00:00:00,Replied,CMP000029,Quarterly Newsletter
HEM000270,HS101295,LED001295,2025-02-17T21:00:00,Delivered,,Quarterly Newsletter
HEM000271,,LED003748,2025-04-26T08:00:00,Delivered,CMP000023,Nurture 2 - Case Study
HEM000272,HS101580,LED001580,2026-05-12T14:00:00,Clicked,CMP000023,Nurture 1 - Pain Point
HEM000273,HS103712,LED003712,2026-02-19T20:00:00,Delivered,CMP000001,CRM Audit Offer
HEM000274,HS100203,LED000203,2026-03-15T07:00:00,Clicked,,Quarterly Newsletter
HEM000275,HS100148,LED000148,2025-08-30T14:00:00,Delivered,CMP000032,Webinar Invite
HEM000276,HS102535,LED002535,2026-06-30T00:00:00,Delivered,CMP000007,Nurture 1 - Pain Point
