External Task ID,Activity Date,Owner External ID,Related Object Type,Related Object External ID,Task Type,Subject,Status,Outcome,Duration Minutes,Logged In System
TSK010460,2025-05-10,USR000028,Opportunity,OPP000066,Email,Email - Opened,Completed,Opened,15,Salesforce
TSK014098,2025-04-08,USR000003,Contact,CON002508,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,15,Salesforce
TSK008022,2026-01-16,USR000012,Opportunity,OPP000805,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,45,HubSpot
TSK003475,2026-05-01,USR000012,Contact,CON001991,Email,Email - Opened,Completed,Opened,45,Salesforce
TSK013713,2025-01-29,USR000014,Contact,CON000576,Email,Email - Replied,Completed,Replied,15,Outreach
TSK009075,2026-02-21,USR000015,Lead,LED004036,Meeting,Meeting - Completed,Completed,Completed,20,Gong
TSK014185,2025-03-18,USR000014,Contact,CON000209,Email,Email - Bounced,Completed,Bounced,5,Manual
TSK012520,2026-01-07,USR000004,Lead,LED002302,Email,Email - Sent,Completed,Sent,30,Manual
TSK008662,2025-03-01,USR000018,Lead,LED000477,Call,Call - Connected,Completed,Connected,15,HubSpot
TSK011651,2026-03-25,USR000024,Opportunity,OPP001623,Follow-up,Follow-up - Completed,Completed,Completed,30,Manual
TSK007580,2025-04-05,USR000026,Opportunity,OPP000752,Demo,Demo - Completed,Completed,Completed,20,Gong
TSK013880,2026-03-03,USR000020,Lead,LED003032,Call,Call - Completed,Completed,Completed,20,HubSpot
TSK010981,2025-08-10,USR000016,Lead,LED003297,Call,Call - Completed,Completed,Completed,5,Manual
TSK005511,2025-09-22,USR000002,Contact,CON000892,Follow-up,Follow-up - Pending,Open,Pending,20,Salesforce
TSK002782,2026-01-13,USR000028,Opportunity,OPP000741,Email,Email - Opened,Open,Opened,10,Outreach
TSK014003,2026-03-31,USR000013,Lead,LED001365,Call,Call - Completed,Completed,Completed,45,Salesforce
TSK014379,2025-06-20,USR000005,Lead,LED002298,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,5,HubSpot
TSK012063,2025-07-14,USR000009,Contact,CON000962,Call,Call - Connected,Completed,Connected,20,Salesforce
TSK001681,2026-04-14,USR000018,Lead,LED000826,Follow-up,Follow-up - Completed,Completed,Completed,30,HubSpot
TSK012547,2025-05-10,USR000020,Contact,CON000583,Email,Email - Opened,Completed,Opened,10,HubSpot
TSK003745,2025-07-13,USR000024,Lead,LED001416,Follow-up,Follow-up - Replied,Open,Replied,5,Outreach
TSK006018,2025-03-22,USR000012,Opportunity,OPP000955,Follow-up,Follow-up - Replied,Completed,Replied,10,Outreach
TSK010343,2026-01-12,USR000008,Lead,LED000826,Call,Call - Completed,Completed,Completed,15,Outreach
TSK001781,2025-09-01,USR000025,Lead,LED003427,Email,Email - Opened,Completed,Opened,45,Gong
TSK001280,2026-03-15,USR000007,Contact,CON003163,Email,Email - Clicked,Completed,Clicked,45,Manual
TSK005717,2025-12-25,USR000002,Opportunity,OPP000617,Demo,Demo - No Show,Completed,No Show,20,Salesforce
TSK002248,2025-09-15,USR000002,Lead,LED000193,Follow-up,Follow-up - Pending,Completed,Pending,10,Outreach
TSK012890,2025-08-03,USR000018,Lead,LED002571,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,45,Manual
TSK011292,2026-06-14,USR000012,Lead,LED000675,Internal Note,Internal Note - Replied,Completed,Replied,5,Gong
TSK014307,2025-01-29,USR000007,Lead,LED003190,Follow-up,Follow-up - Replied,Open,Replied,20,Manual
TSK001396,2026-03-27,USR000016,Contact,CON001047,Call,Call - Connected,Completed,Connected,30,Gong
TSK010458,2025-04-22,USR000011,Contact,CON000943,Call,Call - Connected,Completed,Connected,10,Salesforce
TSK001971,2025-03-20,USR000028,Contact,CON000612,Call,Call - Rescheduled,Completed,Rescheduled,10,Outreach
TSK005761,2025-05-24,USR000002,Contact,CON002126,Call,Call - Completed,Completed,Completed,10,Manual
TSK011987,2025-04-30,USR000026,Contact,CON000419,Call,Call - No Show,Completed,No Show,45,Outreach
TSK009808,2026-04-19,USR000015,Contact,CON003188,Internal Note,Internal Note - Completed,Completed,Completed,15,Outreach
TSK011765,2026-01-28,USR000026,Contact,CON000422,Call,Call - Connected,Completed,Connected,10,HubSpot
TSK003010,2025-05-23,USR000028,Contact,CON001314,Demo,Demo - Rescheduled,Completed,Rescheduled,20,HubSpot
TSK003493,2025-09-25,USR000015,Opportunity,OPP001239,Follow-up,Follow-up - Completed,Completed,Completed,5,Salesforce
TSK012071,2025-06-01,USR000002,Contact,CON003439,Email,Email - Replied,Completed,Replied,45,Manual
TSK009940,2026-03-13,USR000010,Lead,LED003427,Email,Email - Sent,Completed,Sent,30,Gong
TSK010434,2025-07-17,USR000012,Lead,LED002535,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,45,Salesforce
TSK005703,2025-05-07,USR000015,Opportunity,OPP000883,Email,Email - Replied,Completed,Replied,5,Salesforce
TSK001709,2026-01-01,USR000019,Lead,LED003427,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,30,Gong
TSK004731,2025-11-25,USR000002,Contact,CON000348,Email,Email - Sent,Completed,Sent,15,Manual
TSK006089,2026-06-06,USR000007,Opportunity,OPP000930,Call,Call - Completed,Completed,Completed,5,HubSpot
TSK004457,2025-06-09,USR000021,Lead,LED003328,Call,Call - Completed,Open,Completed,15,Manual
TSK010030,2025-07-27,USR000024,Contact,CON003536,Email,Email - Sent,Completed,Sent,20,HubSpot
TSK013511,2025-12-08,USR000014,Lead,LED001279,Meeting,Meeting - Connected,Completed,Connected,10,Gong
TSK001812,2026-06-05,USR000006,Contact,CON000142,Follow-up,Follow-up - Pending,Completed,Pending,5,Salesforce
TSK007459,2026-04-21,USR000001,Opportunity,OPP000426,Email,Email - Replied,Completed,Replied,15,Manual
TSK001071,2025-10-31,USR000022,Lead,LED001079,Meeting,Meeting - Completed,Completed,Completed,15,HubSpot
TSK009826,2025-12-21,USR000010,Opportunity,OPP000042,Follow-up,Follow-up - Replied,Completed,Replied,30,Salesforce
TSK013022,2025-06-14,USR000017,Contact,CON000115,Follow-up,Follow-up - Completed,Completed,Completed,5,Salesforce
TSK012881,2025-01-18,USR000018,Contact,CON001871,Email,Email - Replied,Completed,Replied,60,Outreach
TSK001869,2026-02-20,USR000019,Contact,CON000778,Follow-up,Follow-up - No Response,Completed,No Response,20,Manual
TSK009802,2025-11-14,USR000023,Lead,LED004047,Email,Email - Replied,Completed,Replied,45,Manual
TSK007378,2025-01-17,USR000010,Lead,LED002891,Email,Email - Replied,Completed,Replied,5,Outreach
TSK007697,2025-12-18,USR000021,Lead,LED004102,Email,Email - Clicked,Open,Clicked,15,HubSpot
TSK003215,2025-01-05,USR000010,Contact,CON000115,Email,Email - Opened,Completed,Opened,30,Manual
TSK011825,2025-06-29,USR000020,Lead,LED000704,Call,Call - Left Voicemail,Open,Left Voicemail,20,Outreach
TSK011925,2025-12-19,USR000020,Opportunity,OPP000042,Demo,Demo - Completed,Completed,Completed,30,Outreach
TSK013492,2026-02-05,USR000017,Contact,CON003015,Demo,Demo - Completed,Completed,Completed,15,Gong
TSK010619,2025-02-09,USR000018,Contact,CON000232,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,15,Gong
TSK009638,2025-02-20,USR000025,Lead,LED001358,Meeting,Meeting - Connected,Open,Connected,15,Gong
TSK002131,2025-04-10,USR000021,Lead,LED002609,Meeting,Meeting - Connected,Completed,Connected,15,HubSpot
TSK012697,2025-03-08,USR000003,Contact,CON002845,Internal Note,Internal Note - Pending,Completed,Pending,15,Outreach
TSK003038,2026-02-23,USR000013,Contact,CON003107,Email,Email - Sent,Completed,Sent,5,Outreach
TSK004076,2025-04-04,USR000011,Contact,CON001055,Email,Email - Sent,Completed,Sent,45,Manual
TSK008315,2025-06-07,USR000007,Lead,LED000586,Email,Email - Replied,Completed,Replied,45,Salesforce
TSK009154,2026-06-08,USR000023,Opportunity,OPP000905,Follow-up,Follow-up - No Response,Completed,No Response,10,HubSpot
TSK008548,2025-10-10,USR000027,Lead,LED000816,Demo,Demo - Completed,Completed,Completed,5,Manual
TSK001727,2025-07-10,USR000021,Opportunity,OPP000422,Call,Call - Completed,Completed,Completed,45,Salesforce
TSK012264,2025-04-02,USR000021,Lead,LED003490,Email,Email - Sent,Completed,Sent,10,Salesforce
TSK005550,2025-04-09,USR000019,Contact,CON002784,Call,Call - Completed,Open,Completed,5,Gong
TSK003880,2025-10-08,USR000021,Lead,LED000830,Call,Call - Connected,Completed,Connected,30,Gong
TSK002938,2025-03-07,USR000025,Contact,CON001453,Call,Call - Left Voicemail,Open,Left Voicemail,5,Outreach
TSK011924,2025-11-22,USR000008,Lead,LED004174,Call,Call - Connected,Completed,Connected,10,Outreach
TSK002012,2025-07-08,USR000013,Contact,CON002367,Meeting,Meeting - Connected,Open,Connected,20,Gong
TSK004578,2026-01-19,USR000013,Contact,CON003281,Call,Call - Rescheduled,Completed,Rescheduled,30,Manual
TSK009574,2026-05-19,USR000013,Lead,LED000150,Meeting,Meeting - No Show,Completed,No Show,15,Salesforce
TSK002461,2025-05-16,USR000019,Contact,CON001077,Call,Call - Connected,Completed,Connected,15,Salesforce
TSK004751,2025-06-25,USR000011,Lead,LED000702,LinkedIn Touch,LinkedIn Touch - Replied,Open,Replied,5,Gong
TSK003524,2026-02-15,USR000026,Lead,LED001311,Demo,Demo - Connected,Completed,Connected,10,Gong
TSK010896,2026-03-13,USR000006,Lead,LED002323,Call,Call - Completed,Completed,Completed,45,Manual
TSK001617,2025-03-13,USR000004,Lead,LED002886,Call,Call - Completed,Open,Completed,30,Outreach
TSK009503,2025-01-22,USR000003,Lead,LED001503,Internal Note,Internal Note - Replied,Completed,Replied,45,Gong
TSK008757,2025-03-18,USR000014,Contact,CON000583,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,15,Gong
TSK007767,2026-06-20,USR000020,Lead,LED000976,Email,Email - Sent,Open,Sent,15,Outreach
TSK014239,2025-06-14,USR000002,Lead,LED001753,Email,Email - Clicked,Completed,Clicked,45,Outreach
TSK002022,2026-04-17,USR000020,Opportunity,OPP000596,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,30,HubSpot
TSK006214,2025-01-20,USR000004,Contact,CON003163,Email,Email - Opened,Completed,Opened,30,Gong
TSK003290,2025-12-28,USR000022,Contact,CON000273,Internal Note,Internal Note - No Response,Completed,No Response,30,Gong
TSK003829,2025-01-05,USR000017,Opportunity,OPP001054,LinkedIn Touch,LinkedIn Touch - Replied,Open,Replied,10,Outreach
TSK009279,2025-07-05,USR000028,Lead,LED002044,Email,Email - Replied,Completed,Replied,30,Salesforce
TSK002824,2025-05-20,USR000010,Lead,LED000708,Email,Email - Replied,Completed,Replied,30,Salesforce
TSK001244,2025-12-03,USR000013,Opportunity,OPP001408,Follow-up,Follow-up - Completed,Open,Completed,60,Salesforce
TSK009577,2025-06-11,USR000006,Lead,LED002316,Email,Email - Clicked,Completed,Clicked,15,Salesforce
TSK008208,2025-12-25,USR000004,Contact,CON001929,Demo,Demo - Connected,Completed,Connected,45,Salesforce
TSK009619,2026-02-02,USR000004,Lead,LED000485,Meeting,Meeting - No Show,Completed,No Show,15,Gong
TSK000560,2025-01-28,USR000009,Lead,LED003766,Email,Email - Opened,Completed,Opened,45,Gong
TSK003566,2026-04-24,USR000008,Opportunity,OPP000698,Meeting,Meeting - Completed,Completed,Completed,5,Salesforce
TSK000210,2025-10-29,USR000007,Opportunity,OPP000039,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,30,Gong
TSK012981,2025-12-24,USR000005,Lead,LED001541,Email,Email - Sent,Completed,Sent,30,Outreach
TSK002478,2026-06-02,USR000008,Lead,LED004102,Meeting,Meeting - Rescheduled,Completed,Rescheduled,5,Manual
TSK008676,2025-02-24,USR000006,Contact,CON002523,Email,Email - Opened,Completed,Opened,60,HubSpot
TSK007751,2025-03-13,USR000025,Contact,CON001726,Email,Email - Sent,Completed,Sent,45,Salesforce
TSK003093,2026-03-27,USR000009,Contact,CON002870,Email,Email - Replied,Completed,Replied,10,Outreach
TSK010447,2025-04-01,USR000018,Lead,LED002872,Follow-up,Follow-up - No Response,Completed,No Response,20,HubSpot
TSK002719,2026-01-02,USR000015,Contact,CON002174,Email,Email - Sent,Completed,Sent,20,Outreach
TSK006867,2025-10-16,USR000024,Lead,LED003691,Email,Email - Clicked,Open,Clicked,45,HubSpot
TSK009466,2025-04-30,USR000012,Contact,CON002553,Email,Email - Replied,Completed,Replied,20,Manual
TSK010287,2026-04-30,USR000028,Lead,LED000544,Call,Call - Left Voicemail,Completed,Left Voicemail,15,HubSpot
TSK001854,2025-06-24,USR000016,Opportunity,OPP000630,Demo,Demo - Left Voicemail,Completed,Left Voicemail,45,Gong
TSK014084,2025-08-26,USR000020,Lead,LED001678,Meeting,Meeting - Completed,Completed,Completed,15,Manual
TSK012639,2026-04-01,USR000001,Opportunity,OPP001288,Call,Call - No Show,Completed,No Show,45,Salesforce
TSK007872,2025-07-25,USR000018,Opportunity,OPP000775,Email,Email - Opened,Completed,Opened,45,Gong
TSK004700,2025-10-20,USR000010,Lead,LED001123,Meeting,Meeting - Completed,Completed,Completed,30,Salesforce
TSK004628,2025-07-31,USR000021,Contact,CON002293,Email,Email - Opened,Completed,Opened,30,Manual
TSK007578,2025-02-10,USR000012,Lead,LED003157,LinkedIn Touch,LinkedIn Touch - No Response,Open,No Response,10,Salesforce
TSK005115,2025-12-05,USR000024,Lead,LED002314,Email,Email - Bounced,Completed,Bounced,20,Gong
TSK010078,2025-10-09,USR000003,Contact,CON000574,Follow-up,Follow-up - Pending,Completed,Pending,20,Gong
TSK002479,2025-06-05,USR000007,Lead,LED000271,Demo,Demo - Completed,Completed,Completed,10,Gong
TSK004042,2025-06-10,USR000003,Contact,CON000193,Call,Call - No Show,Completed,No Show,5,HubSpot
TSK013519,2025-04-07,USR000015,Opportunity,OPP000432,Email,Email - Replied,Completed,Replied,10,Gong
TSK001758,2025-03-12,USR000003,Lead,LED003523,Call,Call - Connected,Completed,Connected,30,Manual
TSK008751,2026-01-29,USR000004,Lead,LED003962,Internal Note,Internal Note - Replied,Completed,Replied,20,Salesforce
TSK012766,2026-06-28,USR000011,Lead,LED001381,Meeting,Meeting - Left Voicemail,Open,Left Voicemail,45,Outreach
TSK013986,2025-02-15,USR000023,Opportunity,OPP000725,Email,Email - Opened,Completed,Opened,15,Outreach
TSK009964,2026-01-08,USR000008,Contact,CON002196,Call,Call - Connected,Completed,Connected,5,Salesforce
TSK005405,2025-09-29,USR000003,Lead,LED002816,Email,Email - Clicked,Completed,Clicked,45,HubSpot
TSK003071,2025-10-28,USR000027,Lead,LED002319,Demo,Demo - Connected,Completed,Connected,5,Gong
TSK002297,2025-10-29,USR000006,Contact,CON002642,Email,Email - Replied,Completed,Replied,10,HubSpot
TSK012452,2025-10-05,USR000021,Lead,LED000197,Email,Email - Clicked,Completed,Clicked,60,Salesforce
TSK002096,2025-08-18,USR000008,Contact,CON000118,Call,Call - Left Voicemail,Completed,Left Voicemail,45,HubSpot
TSK014222,2025-11-14,USR000014,Lead,LED003966,Meeting,Meeting - Connected,Completed,Connected,15,HubSpot
TSK001293,2025-12-03,USR000004,Contact,CON002395,Demo,Demo - Completed,Completed,Completed,10,Manual
TSK011389,2025-05-27,USR000003,Opportunity,OPP000378,Email,Email - Opened,Completed,Opened,20,Manual
TSK010180,2025-10-04,USR000002,Lead,LED001708,Follow-up,Follow-up - Pending,Completed,Pending,15,Manual
TSK008031,2025-07-21,USR000012,Contact,CON001671,Email,Email - Opened,Completed,Opened,10,Salesforce
TSK001126,2025-09-01,USR000004,Lead,LED001349,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,15,Manual
TSK010306,2026-05-14,USR000001,Opportunity,OPP000524,Email,Email - Sent,Completed,Sent,15,HubSpot
TSK012882,2026-04-10,USR000016,Contact,CON002293,Call,Call - Completed,Open,Completed,5,Salesforce
TSK008904,2025-12-03,USR000001,Contact,CON000334,Call,Call - Connected,Completed,Connected,5,Salesforce
TSK008195,2026-04-16,USR000005,Lead,LED003056,Call,Call - Completed,Completed,Completed,10,Gong
TSK001729,2026-04-06,USR000011,Contact,CON002508,Meeting,Meeting - No Show,Completed,No Show,10,HubSpot
TSK008644,2025-05-29,USR000017,Contact,CON003485,Demo,Demo - Connected,Completed,Connected,15,Gong
TSK013502,2026-05-31,USR000006,Opportunity,OPP000903,Meeting,Meeting - No Show,Completed,No Show,5,HubSpot
TSK007564,2025-10-18,USR000009,Lead,LED003669,Follow-up,Follow-up - No Response,Open,No Response,5,Gong
TSK003537,2025-06-18,USR000007,Opportunity,OPP000044,Email,Email - Bounced,Completed,Bounced,45,Salesforce
TSK008656,2026-02-14,USR000001,Lead,LED003639,Meeting,Meeting - Rescheduled,Open,Rescheduled,30,Manual
TSK007928,2025-12-21,USR000008,Lead,LED003505,Call,Call - Completed,Completed,Completed,20,Gong
TSK014144,2026-02-28,USR000026,Lead,LED003989,Email,Email - Opened,Completed,Opened,10,Manual
TSK012948,2026-02-25,USR000026,Contact,CON001560,Email,Email - Opened,Completed,Opened,20,HubSpot
TSK002766,2026-03-05,USR000007,Lead,LED003133,Email,Email - Sent,Completed,Sent,20,Outreach
TSK006541,2025-01-27,USR000022,Lead,LED001643,Meeting,Meeting - Rescheduled,Open,Rescheduled,10,Gong
TSK008786,2025-10-09,USR000013,Contact,CON000203,Meeting,Meeting - No Show,Completed,No Show,60,Outreach
TSK003914,2025-06-29,USR000024,Lead,LED003347,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,20,Salesforce
TSK002431,2025-12-12,USR000006,Lead,LED003170,Email,Email - Sent,Completed,Sent,45,Outreach
TSK003973,2025-04-25,USR000027,Lead,LED003685,Demo,Demo - Completed,Open,Completed,20,Manual
TSK006486,2026-06-02,USR000005,Opportunity,OPP001275,Meeting,Meeting - Connected,Completed,Connected,10,Salesforce
TSK012796,2025-11-09,USR000001,Lead,LED001737,Email,Email - Opened,Completed,Opened,30,Outreach
TSK011948,2026-04-23,USR000021,Contact,CON001755,Email,Email - Opened,Completed,Opened,5,Manual
TSK007155,2025-08-25,USR000026,Contact,CON002514,Email,Email - Replied,Completed,Replied,30,HubSpot
TSK003074,2025-02-01,USR000005,Opportunity,OPP000307,Call,Call - Completed,Completed,Completed,30,HubSpot
TSK010654,2025-08-24,USR000007,Lead,LED001382,Call,Call - Left Voicemail,Completed,Left Voicemail,15,Manual
TSK001303,2026-01-04,USR000015,Lead,LED001211,Call,Call - Connected,Completed,Connected,30,Manual
TSK013617,2025-09-25,USR000018,Opportunity,OPP000137,Call,Call - Completed,Completed,Completed,15,Salesforce
TSK004814,2026-05-07,USR000022,Lead,LED000433,Internal Note,Internal Note - Completed,Completed,Completed,15,Salesforce
TSK011089,2025-09-13,USR000004,Opportunity,OPP000540,Email,Email - Opened,Completed,Opened,5,Salesforce
TSK005067,2025-05-16,USR000007,Lead,LED002734,Meeting,Meeting - Completed,Completed,Completed,5,HubSpot
TSK006752,2025-05-16,USR000027,Lead,LED003145,Follow-up,Follow-up - Completed,Completed,Completed,10,Gong
TSK003900,2026-02-05,USR000014,Contact,CON002573,Call,Call - Left Voicemail,Completed,Left Voicemail,30,Outreach
TSK013698,2025-09-24,USR000008,Opportunity,OPP000764,Call,Call - Left Voicemail,Completed,Left Voicemail,10,Salesforce
TSK000399,2026-06-16,USR000020,Opportunity,OPP000483,Internal Note,Internal Note - Completed,Completed,Completed,20,Outreach
TSK011295,2026-02-16,USR000017,Opportunity,OPP001068,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,15,Gong
TSK000493,2026-02-20,USR000014,Contact,CON002137,Internal Note,Internal Note - Pending,Completed,Pending,10,Gong
TSK004131,2025-11-23,USR000006,Lead,LED000284,Email,Email - Opened,Completed,Opened,30,Gong
TSK013373,2026-03-29,USR000012,Contact,CON000743,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,5,HubSpot
TSK008734,2025-07-25,USR000021,Lead,LED001280,Email,Email - Clicked,Open,Clicked,10,Manual
TSK008432,2026-05-02,USR000004,Contact,CON001357,Call,Call - No Show,Completed,No Show,10,Salesforce
TSK013790,2025-11-05,USR000022,Lead,LED001324,Email,Email - Bounced,Completed,Bounced,15,Outreach
TSK007456,2025-05-31,USR000022,Lead,LED000690,Call,Call - Connected,Completed,Connected,10,Gong
TSK008211,2026-05-08,USR000014,Contact,CON000085,Call,Call - Completed,Completed,Completed,10,Outreach
TSK003335,2025-08-17,USR000004,Contact,CON001353,Call,Call - Completed,Completed,Completed,45,HubSpot
TSK007049,2025-05-19,USR000018,Opportunity,OPP001096,Email,Email - Replied,Completed,Replied,5,Outreach
TSK014336,2025-05-09,USR000022,Contact,CON002165,Email,Email - Opened,Completed,Opened,15,Outreach
TSK002737,2025-03-27,USR000009,Lead,LED002164,Follow-up,Follow-up - Replied,Completed,Replied,10,Outreach
TSK000225,2026-05-08,USR000027,Lead,LED000341,Demo,Demo - Connected,Completed,Connected,30,Manual
TSK006296,2025-06-05,USR000021,Opportunity,OPP001604,Email,Email - Sent,Completed,Sent,10,Salesforce
TSK003431,2026-04-14,USR000010,Contact,CON001902,Call,Call - Completed,Open,Completed,5,Manual
TSK011534,2025-07-04,USR000002,Contact,CON002230,Email,Email - Clicked,Completed,Clicked,10,Salesforce
TSK010684,2026-04-13,USR000008,Opportunity,OPP000979,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,10,Manual
TSK004462,2026-06-16,USR000012,Opportunity,OPP000860,Call,Call - Completed,Completed,Completed,15,Manual
TSK001433,2025-02-25,USR000024,Contact,CON003133,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,30,Manual
TSK002552,2025-02-11,USR000026,Contact,CON000502,Call,Call - No Show,Completed,No Show,30,Gong
TSK007243,2026-02-25,USR000003,Lead,LED001773,Call,Call - Connected,Completed,Connected,10,Manual
TSK006038,2026-06-07,USR000016,Lead,LED003504,Follow-up,Follow-up - No Response,Completed,No Response,45,Salesforce
TSK009926,2026-06-21,USR000014,Contact,CON001669,Follow-up,Follow-up - Pending,Open,Pending,10,Manual
TSK004388,2026-05-04,USR000007,Contact,CON003163,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,45,HubSpot
TSK001380,2026-01-05,USR000008,Contact,CON003188,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,10,Outreach
TSK013379,2025-11-11,USR000006,Lead,LED001221,Call,Call - Left Voicemail,Open,Left Voicemail,15,Salesforce
TSK007348,2026-03-24,USR000006,Lead,LED003060,Call,Call - Completed,Completed,Completed,5,Gong
TSK007997,2025-02-22,USR000024,Lead,LED001934,Email,Email - Bounced,Completed,Bounced,15,Gong
TSK011926,2025-03-14,USR000002,Opportunity,OPP000088,Email,Email - Opened,Completed,Opened,10,Salesforce
TSK012147,2026-03-22,USR000024,Opportunity,OPP000350,Internal Note,Internal Note - No Response,Completed,No Response,30,Gong
TSK012079,2026-04-19,USR000018,Contact,CON003335,Meeting,Meeting - Connected,Completed,Connected,45,Salesforce
TSK002701,2026-01-11,USR000006,Lead,LED002323,Call,Call - Completed,Completed,Completed,15,Outreach
TSK005683,2025-02-25,USR000026,Contact,CON001315,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,20,Manual
TSK004146,2025-08-12,USR000023,Opportunity,OPP000039,Email,Email - Sent,Open,Sent,20,Gong
TSK012650,2025-12-29,USR000005,Lead,LED002733,Call,Call - Completed,Completed,Completed,45,Manual
TSK008773,2025-10-05,USR000014,Lead,LED001689,Call,Call - Left Voicemail,Completed,Left Voicemail,5,HubSpot
TSK008044,2025-05-29,USR000023,Contact,CON003302,Call,Call - Completed,Completed,Completed,10,Outreach
TSK002527,2025-12-25,USR000008,Contact,CON000473,Call,Call - Completed,Completed,Completed,10,Manual
TSK003076,2025-02-02,USR000023,Lead,LED004157,Email,Email - Replied,Completed,Replied,30,HubSpot
TSK006410,2025-02-17,USR000010,Contact,CON002115,Email,Email - Sent,Completed,Sent,30,Gong
TSK005732,2025-08-22,USR000022,Opportunity,OPP001560,Email,Email - Bounced,Completed,Bounced,30,Outreach
TSK012382,2026-02-26,USR000023,Contact,CON000867,Call,Call - Left Voicemail,Completed,Left Voicemail,15,Gong
TSK007870,2025-02-05,USR000003,Contact,CON002456,Call,Call - Rescheduled,Completed,Rescheduled,30,Salesforce
TSK000314,2026-02-10,USR000006,Lead,LED003247,Call,Call - Left Voicemail,Completed,Left Voicemail,10,HubSpot
TSK001233,2025-08-19,USR000022,Lead,LED000130,Email,Email - Bounced,Completed,Bounced,15,HubSpot
TSK004947,2025-12-08,USR000021,Contact,CON002001,Demo,Demo - Completed,Completed,Completed,5,Salesforce
TSK009323,2026-03-27,USR000013,Contact,CON003578,Internal Note,Internal Note - Pending,Completed,Pending,20,Salesforce
TSK011859,2025-02-02,USR000024,Lead,LED000792,Email,Email - Sent,Completed,Sent,10,Gong
TSK011224,2025-09-06,USR000021,Contact,CON002573,Demo,Demo - Connected,Completed,Connected,5,HubSpot
TSK011043,2025-12-09,USR000018,Lead,LED001436,Call,Call - Left Voicemail,Open,Left Voicemail,20,Salesforce
TSK000595,2025-12-18,USR000005,Lead,LED001079,Email,Email - Opened,Open,Opened,10,Outreach
TSK003568,2026-05-30,USR000027,Contact,CON002812,Email,Email - Sent,Completed,Sent,10,HubSpot
