task_id,activity_date,owner_id,related_object_type,related_object_id,task_type,subject,status,outcome,duration_minutes,logged_in_system
TSK000124,2026-05-31,USR000014,Contact,CON003502,Call,Call - No Show,Completed,No Show,5,Salesforce
TSK000125,2025-11-20,USR000026,Lead,LED000116,Internal Note,Internal Note - Replied,Completed,Replied,30,Salesforce
TSK000126,2025-07-26,USR000024,Lead,LED003868,Email,Email - Replied,Open,Replied,45,Outreach
TSK000127,2026-04-16,USR000013,Lead,LED003121,Demo,Demo - Connected,Completed,Connected,5,Manual
TSK000128,2025-07-04,USR000017,Contact,CON001999,Follow-up,Follow-up - Completed,Completed,Completed,5,Manual
TSK000129,2025-09-13,USR000012,Lead,LED001407,Email,Email - Replied,Completed,Replied,5,Gong
TSK000130,2025-11-03,USR000021,Lead,LED001614,Demo,Demo - Left Voicemail,Completed,Left Voicemail,10,Manual
TSK000131,2025-02-25,USR000010,Contact,CON003594,Call,Call - Completed,Completed,Completed,5,Salesforce
TSK000132,2025-10-15,USR000028,Lead,LED000362,Email,Email - Replied,Completed,Replied,5,HubSpot
TSK000133,2025-10-05,USR000015,Contact,CON000307,Call,Call - Connected,Completed,Connected,20,Salesforce
TSK000134,2025-08-31,USR000004,Contact,CON003231,Follow-up,Follow-up - Pending,Completed,Pending,10,Gong
TSK000135,2025-04-28,USR000018,Opportunity,OPP000719,Email,Email - Bounced,Completed,Bounced,45,Salesforce
TSK000136,2025-04-10,USR000003,Lead,LED002108,Demo,Demo - Left Voicemail,Completed,Left Voicemail,10,Salesforce
TSK000137,2026-04-23,USR000002,Contact,CON000319,Call,Call - Connected,Completed,Connected,10,Salesforce
TSK000138,2026-05-05,USR000005,Lead,LED002930,Call,Call - Connected,Completed,Connected,20,Outreach
TSK000139,2025-07-02,USR000026,Contact,CON002941,Internal Note,Internal Note - Replied,Completed,Replied,20,Gong
TSK000140,2026-02-26,USR000010,Lead,LED002276,Call,Call - Left Voicemail,Completed,Left Voicemail,20,Manual
TSK000141,2025-06-20,USR000008,Lead,LED002786,Email,Email - Replied,Completed,Replied,30,Gong
TSK000142,2025-09-14,USR000023,Contact,CON002561,Follow-up,Follow-up - Completed,Completed,Completed,30,HubSpot
TSK000143,2025-10-05,USR000004,Lead,LED002066,Email,Email - Sent,Completed,Sent,10,HubSpot
TSK000144,2025-09-26,USR000023,Contact,CON003209,Meeting,Meeting - Completed,Completed,Completed,30,Manual
TSK000145,2025-01-18,USR000006,Lead,LED000564,Call,Call - Completed,Open,Completed,10,Salesforce
TSK000146,2026-04-15,USR000016,Lead,LED002988,Demo,Demo - Connected,Completed,Connected,10,Salesforce
TSK000147,2026-04-06,USR000028,Contact,CON001142,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,10,Salesforce
TSK000148,2025-03-08,USR000001,Lead,LED000417,Meeting,Meeting - Left Voicemail,Open,Left Voicemail,30,Outreach
TSK000149,2025-02-16,USR000013,Opportunity,OPP000205,Email,Email - Opened,Completed,Opened,30,Salesforce
TSK000150,2025-01-09,USR000010,Lead,LED002445,Call,Call - Connected,Completed,Connected,60,Gong
TSK000151,2025-02-10,USR000026,Opportunity,OPP000034,Meeting,Meeting - Completed,Open,Completed,15,Salesforce
TSK000152,2026-06-12,USR000009,Opportunity,OPP001158,Demo,Demo - No Show,Completed,No Show,20,HubSpot
TSK000153,2025-10-05,USR000008,Lead,LED003657,Call,Call - Connected,Open,Connected,60,Gong
TSK000154,2026-02-14,USR000028,Contact,CON002830,Call,Call - No Show,Completed,No Show,10,Outreach
TSK000155,2025-02-16,USR000023,Contact,CON001707,Demo,Demo - Completed,Completed,Completed,30,Outreach
TSK000156,2025-02-02,USR000017,Lead,LED001759,Call,Call - Left Voicemail,Completed,Left Voicemail,30,Manual
TSK000157,2025-10-02,USR000012,Contact,CON002459,Call,Call - Completed,Completed,Completed,15,Salesforce
TSK000158,2025-06-22,USR000009,Contact,CON003479,Demo,Demo - Rescheduled,Open,Rescheduled,45,Salesforce
TSK000159,2026-02-12,USR000028,Lead,LED002638,Call,Call - Left Voicemail,Completed,Left Voicemail,5,Salesforce
TSK000160,2025-12-14,USR000020,Lead,LED000953,Email,Email - Bounced,Completed,Bounced,30,Manual
TSK000161,2026-03-06,USR000022,Lead,LED000628,Call,Call - Rescheduled,Completed,Rescheduled,15,HubSpot
TSK000162,2025-09-12,USR000015,Lead,LED001398,Email,Email - Sent,Completed,Sent,20,HubSpot
TSK000163,2025-03-05,USR000008,Contact,CON000849,Meeting,Meeting - Connected,Completed,Connected,10,Outreach
TSK000164,2025-12-05,USR000019,Lead,LED003341,Demo,Demo - Completed,Completed,Completed,5,Outreach
TSK000165,2025-02-18,USR000017,Contact,CON000840,Call,Call - Connected,Completed,Connected,60,Outreach
TSK000166,2025-05-05,USR000008,Lead,LED001554,Meeting,Meeting - Connected,Completed,Connected,5,Salesforce
TSK000167,2025-09-07,USR000006,Opportunity,OPP001650,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,10,Manual
TSK000168,2025-04-12,USR000006,Contact,CON003419,Meeting,Meeting - Completed,Completed,Completed,30,Manual
TSK000169,2026-03-18,USR000005,Contact,CON000316,Email,Email - Opened,Completed,Opened,45,Manual
TSK000170,2025-08-15,USR000002,Lead,LED001512,LinkedIn Touch,LinkedIn Touch - Replied,Open,Replied,15,Gong
TSK000171,2026-05-16,USR000028,Lead,LED002908,Call,Call - No Show,Completed,No Show,10,HubSpot
TSK000172,2026-01-22,USR000027,Lead,LED000524,Call,Call - Completed,Completed,Completed,20,HubSpot
TSK000173,2025-04-29,USR000004,Opportunity,OPP000785,Follow-up,Follow-up - Completed,Open,Completed,10,HubSpot
TSK000174,2025-07-11,USR000008,Lead,LED000204,Meeting,Meeting - Completed,Completed,Completed,30,HubSpot
TSK000175,2025-05-15,USR000020,Contact,CON000122,Follow-up,Follow-up - Pending,Completed,Pending,5,Manual
TSK000176,2026-03-14,USR000014,Contact,CON000388,Email,Email - Sent,Completed,Sent,30,Gong
TSK000177,2025-12-01,USR000009,Contact,CON001864,Email,Email - Opened,Completed,Opened,10,Manual
TSK000178,2025-03-16,USR000019,Lead,LED000528,Follow-up,Follow-up - Pending,Completed,Pending,10,Salesforce
TSK000179,2026-04-21,USR000020,Lead,LED002894,Call,Call - Completed,Completed,Completed,10,Salesforce
TSK000180,2025-03-10,USR000022,Lead,LED000656,Call,Call - Completed,Completed,Completed,60,Gong
TSK000181,2025-04-03,USR000019,Lead,LED002688,Follow-up,Follow-up - No Response,Completed,No Response,45,Salesforce
TSK000182,2026-05-24,USR000023,Lead,LED003770,Meeting,Meeting - Left Voicemail,Open,Left Voicemail,10,Outreach
TSK000183,2025-01-01,USR000025,Opportunity,OPP000139,Meeting,Meeting - Connected,Completed,Connected,10,Gong
TSK000184,2025-05-24,USR000003,Opportunity,OPP000972,Email,Email - Sent,Completed,Sent,10,Salesforce
TSK000185,2026-03-07,USR000020,Lead,LED001939,Email,Email - Sent,Open,Sent,20,Salesforce
TSK000186,2025-05-02,USR000008,Contact,CON003145,Call,Call - Completed,Open,Completed,60,HubSpot
TSK000187,2025-03-10,USR000003,Contact,CON000489,Demo,Demo - Completed,Completed,Completed,15,Outreach
TSK000188,2025-06-19,USR000004,Lead,LED003517,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,60,Salesforce
TSK000189,2025-07-07,USR000009,Lead,LED001437,Call,Call - Completed,Completed,Completed,15,Gong
TSK000190,2025-08-01,USR000026,Lead,LED003073,Meeting,Meeting - Rescheduled,Completed,Rescheduled,5,Gong
TSK000191,2025-12-16,USR000005,Lead,LED003366,Email,Email - Opened,Open,Opened,10,HubSpot
TSK000192,2026-02-10,USR000010,Contact,CON002490,Email,Email - Replied,Open,Replied,5,Outreach
TSK000193,2025-07-04,USR000019,Opportunity,OPP001457,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,10,Salesforce
TSK000194,2026-05-28,USR000021,Opportunity,OPP001464,Meeting,Meeting - Completed,Completed,Completed,10,Gong
TSK000195,2025-01-17,USR000011,Opportunity,OPP000181,Call,Call - Left Voicemail,Completed,Left Voicemail,60,Outreach
TSK000196,2025-08-21,USR000020,Lead,LED002673,Email,Email - Sent,Completed,Sent,15,HubSpot
TSK000197,2025-06-09,USR000025,Contact,CON001545,Follow-up,Follow-up - Completed,Open,Completed,30,Salesforce
TSK000198,2025-09-20,USR000006,Contact,CON003239,Meeting,Meeting - No Show,Completed,No Show,60,Salesforce
TSK000199,2025-11-18,USR000022,Lead,LED000372,Call,Call - Completed,Completed,Completed,5,Salesforce
TSK000200,2026-01-15,USR000023,Lead,LED002209,Follow-up,Follow-up - No Response,Completed,No Response,15,Gong
TSK000201,2026-03-20,USR000017,Opportunity,OPP000458,Meeting,Meeting - Connected,Completed,Connected,5,Salesforce
TSK000202,2025-08-29,USR000007,Contact,CON003051,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,15,HubSpot
TSK000203,2026-06-26,USR000016,Lead,LED000696,Follow-up,Follow-up - Pending,Open,Pending,45,Outreach
TSK000204,2026-06-07,USR000004,Opportunity,OPP001213,Meeting,Meeting - Completed,Completed,Completed,5,HubSpot
TSK000205,2026-04-05,USR000005,Opportunity,OPP001434,Call,Call - Connected,Completed,Connected,10,Salesforce
TSK000206,2025-06-18,USR000010,Contact,CON000004,Call,Call - No Show,Completed,No Show,10,Outreach
TSK000207,2026-01-21,USR000018,Contact,CON001247,Email,Email - Opened,Open,Opened,20,Salesforce
TSK000208,2025-02-04,USR000028,Lead,LED003865,Email,Email - Sent,Open,Sent,10,Manual
TSK000209,2026-04-13,USR000019,Lead,LED002640,Email,Email - Replied,Completed,Replied,60,Salesforce
TSK000210,2025-10-29,USR000007,Opportunity,OPP000039,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,30,Gong
TSK000211,2026-05-04,USR000015,Lead,LED000499,Call,Call - Left Voicemail,Completed,Left Voicemail,20,Gong
TSK000212,2025-01-29,USR000006,Contact,CON002213,Email,Email - Replied,Completed,Replied,30,Outreach
TSK000213,2025-04-30,USR000005,Opportunity,OPP000042,Email,Email - Sent,Completed,Sent,10,Gong
TSK000214,2025-10-10,USR000026,Lead,LED003427,Email,Email - Sent,Completed,Sent,20,HubSpot
TSK000215,2025-07-07,USR000021,Contact,CON000530,Email,Email - Sent,Completed,Sent,10,Gong
TSK000216,2025-06-14,USR000026,Contact,CON002760,Demo,Demo - Connected,Completed,Connected,10,Outreach
TSK000217,2025-11-18,USR000003,Opportunity,OPP001042,Call,Call - No Show,Completed,No Show,45,Gong
TSK000218,2025-12-18,USR000026,Opportunity,OPP001007,Meeting,Meeting - Completed,Completed,Completed,60,HubSpot
TSK000219,2025-04-20,USR000012,Lead,LED003026,Internal Note,Internal Note - Replied,Completed,Replied,60,HubSpot
TSK000220,2025-07-08,USR000023,Opportunity,OPP000443,Email,Email - Opened,Completed,Opened,5,Gong
TSK000221,2025-07-13,USR000001,Contact,CON000571,Email,Email - Clicked,Completed,Clicked,10,Outreach
TSK000222,2025-03-15,USR000003,Opportunity,OPP000868,Email,Email - Replied,Completed,Replied,5,Gong
TSK000223,2025-04-07,USR000003,Opportunity,OPP001490,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,30,Salesforce
TSK000224,2025-11-09,USR000021,Contact,CON003019,Call,Call - Connected,Completed,Connected,15,Outreach
TSK000225,2026-05-08,USR000027,Lead,LED000341,Demo,Demo - Connected,Completed,Connected,30,Manual
TSK000226,2025-10-23,USR000026,Opportunity,OPP000390,Email,Email - Replied,Completed,Replied,15,Gong
TSK000227,2025-08-04,USR000014,Contact,CON002420,Follow-up,Follow-up - No Response,Open,No Response,45,Manual
TSK000228,2025-12-20,USR000002,Contact,CON002997,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,20,Gong
TSK000229,2025-12-30,USR000004,Contact,CON001642,Call,Call - Completed,Completed,Completed,30,Gong
TSK000230,2025-05-12,USR000016,Lead,LED004085,Email,Email - Bounced,Open,Bounced,45,Manual
TSK000231,2025-06-24,USR000002,Opportunity,OPP000619,Meeting,Meeting - Connected,Completed,Connected,30,Outreach
TSK000232,2025-09-17,USR000002,Contact,CON001274,Internal Note,Internal Note - No Response,Completed,No Response,20,HubSpot
TSK000233,2025-09-08,USR000008,Contact,CON002618,Call,Call - Connected,Completed,Connected,5,Salesforce
TSK000234,2025-02-07,USR000025,Lead,LED002708,Call,Call - Left Voicemail,Completed,Left Voicemail,45,Gong
TSK000235,2026-06-15,USR000022,Lead,LED000495,Call,Call - Connected,Completed,Connected,5,Gong
TSK000236,2026-06-16,USR000017,Contact,CON001874,Email,Email - Replied,Completed,Replied,15,HubSpot
TSK000237,2026-06-24,USR000001,Lead,LED000761,Internal Note,Internal Note - No Response,Completed,No Response,5,Manual
TSK000238,2025-10-11,USR000001,Lead,LED003729,Follow-up,Follow-up - Pending,Open,Pending,45,Salesforce
TSK000239,2026-01-06,USR000026,Lead,LED003386,Internal Note,Internal Note - Pending,Completed,Pending,60,HubSpot
TSK000240,2025-01-24,USR000021,Lead,LED001497,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,15,Outreach
TSK000241,2025-04-18,USR000003,Lead,LED001383,Call,Call - Left Voicemail,Completed,Left Voicemail,30,HubSpot
TSK000242,2026-02-28,USR000009,Lead,LED001306,Demo,Demo - Connected,Completed,Connected,20,Gong
TSK000243,2025-09-10,USR000005,Lead,LED001563,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,15,Salesforce
TSK000244,2025-03-05,USR000027,Contact,CON000654,Email,Email - Clicked,Open,Clicked,10,Outreach
TSK000245,2025-05-26,USR000008,Opportunity,OPP001321,Demo,Demo - Completed,Open,Completed,20,Outreach
TSK000246,2025-08-22,USR000019,Lead,LED000750,Email,Email - Replied,Completed,Replied,60,Gong
