campaign_member_id,campaign_id,lead_id,contact_id,member_type,status,first_responded_date
CM000098,CMP000034,LED001211,,Lead,Opened,
CM000099,CMP000008,LED001211,,Lead,Clicked,2025-10-08
CM000100,CMP000009,LED002096,,Lead,Sent,
CM000101,CMP000008,LED002096,,Lead,Sent,
CM000102,CMP000022,LED000180,,Lead,Attended,2026-05-25
CM000103,CMP000014,LED002728,,Lead,Opened,
CM000104,CMP000027,LED000185,,Lead,Opened,
CM000105,CMP000013,LED000185,,Lead,Attended,2025-12-14
CM000106,CMP000005,LED000221,,Lead,Attended,2025-04-29
CM000107,CMP000005,LED000221,,Lead,Sent,
CM000108,CMP000026,LED003046,,Lead,Opened,
CM000109,CMP000016,LED001814,,Lead,Sent,
CM000110,CMP000035,LED000681,,Lead,Opened,
CM000111,CMP000031,LED002440,,Lead,Sent,
CM000112,CMP000011,LED002213,,Lead,Opened,
CM000113,CMP000009,LED000158,,Lead,Clicked,2026-02-08
CM000114,CMP000020,LED000158,,Lead,Sent,
CM000115,CMP000001,LED000189,,Lead,Sent,
CM000116,CMP000008,LED000189,,Lead,Sent,
CM000117,CMP000023,LED004192,,Lead,Sent,
CM000118,CMP000016,LED000843,,Lead,Opened,
CM000119,CMP000006,LED002097,,Lead,Clicked,2026-04-26
CM000120,CMP000035,LED002097,,Lead,Clicked,2025-08-29
CM000121,CMP000010,LED003974,,Lead,Sent,
CM000122,CMP000024,LED003974,,Lead,Attended,2025-10-22
CM000123,CMP000016,LED004097,,Lead,Attended,2026-03-23
CM000124,CMP000003,LED004097,,Lead,Sent,
CM000125,CMP000003,LED004097,,Lead,Clicked,2026-06-04
CM000126,CMP000019,LED001692,,Lead,Opened,
CM000127,CMP000019,LED003270,,Lead,Clicked,2026-03-09
CM000128,CMP000012,LED004029,,Lead,Opened,
CM000129,CMP000010,LED000275,,Lead,Clicked,2025-12-29
CM000130,CMP000010,LED001164,,Lead,Sent,
CM000131,CMP000011,LED003806,,Lead,Converted,2026-02-28
CM000132,CMP000031,LED000565,,Lead,Opened,
CM000133,CMP000011,LED002637,,Lead,Attended,2026-03-23
CM000134,CMP000013,LED001611,,Lead,Opened,
CM000135,CMP000036,LED002334,,Lead,Converted,2025-12-15
CM000136,CMP000005,LED002379,,Lead,Attended,2025-05-07
CM000137,CMP000014,LED001792,,Lead,Sent,
CM000138,CMP000025,LED000556,,Lead,Opened,
CM000139,CMP000003,LED001163,,Lead,Sent,
CM000140,CMP000031,LED003954,,Lead,Sent,
CM000141,CMP000011,LED002506,,Lead,Opened,
CM000142,CMP000013,LED000167,,Lead,Opened,
CM000143,CMP000019,LED000212,,Lead,Converted,2026-01-31
CM000144,CMP000029,LED002352,,Lead,Opened,
CM000145,CMP000028,LED003574,,Lead,Clicked,2026-08-12
CM000146,CMP000007,LED003574,,Lead,Opened,
CM000147,CMP000023,LED003574,,Lead,Sent,
CM000148,CMP000022,LED002190,,Lead,Sent,
CM000149,CMP000015,LED004068,,Lead,Sent,
CM000150,CMP000027,LED003824,,Lead,Sent,
CM000151,CMP000003,LED003824,,Lead,Sent,
CM000152,CMP000030,LED003972,,Lead,Sent,
CM000153,CMP000032,LED001379,,Lead,Sent,
CM000154,CMP000029,LED003687,,Lead,Sent,
CM000155,CMP000007,LED002212,,Lead,Clicked,2026-02-17
CM000156,CMP000017,LED000372,,Lead,Attended,2025-03-24
CM000157,CMP000006,LED002583,,Lead,Converted,2026-05-22
CM000158,CMP000025,LED002583,,Lead,Clicked,2025-07-18
CM000159,CMP000026,LED003168,,Lead,Sent,
CM000160,CMP000021,LED000071,,Lead,Converted,2025-10-24
CM000161,CMP000033,LED000071,,Lead,Sent,
CM000162,CMP000021,LED000890,,Lead,Clicked,2025-09-24
CM000163,CMP000015,LED002400,,Lead,Opened,
CM000164,CMP000030,LED001438,,Lead,Sent,
CM000165,CMP000006,LED000034,,Lead,Sent,
CM000166,CMP000003,LED000034,,Lead,Clicked,2026-06-03
CM000167,CMP000034,LED000009,,Lead,Sent,
CM000168,CMP000036,LED000506,,Lead,Sent,
CM000169,CMP000017,LED002772,,Lead,Opened,
CM000170,CMP000024,LED000150,,Lead,Sent,
CM000171,CMP000017,LED002165,,Lead,Sent,
CM000172,CMP000032,LED003540,,Lead,Sent,
CM000173,CMP000015,LED000491,,Lead,Opened,
CM000174,CMP000015,LED002887,,Lead,Opened,
CM000175,CMP000006,LED000439,,Lead,Converted,2026-03-24
CM000176,CMP000005,LED000539,,Lead,Sent,
CM000177,CMP000028,LED000271,,Lead,Attended,2026-07-21
CM000178,CMP000010,LED000271,,Lead,Attended,2025-12-06
CM000179,CMP000027,LED002003,,Lead,Opened,
CM000180,CMP000033,LED002535,,Lead,Attended,2026-01-03
CM000181,CMP000019,LED001045,,Lead,Sent,
CM000182,CMP000031,LED003387,,Lead,Sent,
CM000183,CMP000029,LED002998,,Lead,Converted,2026-07-22
CM000184,CMP000003,LED002998,,Lead,Converted,2026-04-17
CM000185,CMP000029,LED000151,,Lead,Sent,
CM000186,CMP000001,LED000206,,Lead,Sent,
CM000187,CMP000033,LED001511,,Lead,Sent,
CM000188,CMP000034,LED000458,,Lead,Opened,
CM000189,CMP000004,LED001591,,Lead,Sent,
CM000190,CMP000032,LED001591,,Lead,Opened,
CM000191,CMP000030,LED004093,,Lead,Sent,
CM000192,CMP000011,LED002687,,Lead,Converted,2026-04-09
CM000193,CMP000027,LED004120,,Lead,Sent,
CM000194,CMP000030,LED001043,,Lead,Sent,
CM000195,CMP000031,LED002070,,Lead,Sent,
CM000196,CMP000027,LED001973,,Lead,Sent,
CM000197,CMP000026,LED002045,,Lead,Opened,
CM000198,CMP000020,LED001186,,Lead,Opened,
CM000199,CMP000020,LED002737,,Lead,Sent,
CM000200,CMP000007,LED001114,,Lead,Attended,2026-02-20
CM000201,CMP000035,LED003433,,Lead,Opened,
CM000202,CMP000023,LED003433,,Lead,Converted,2025-11-09
CM000203,CMP000033,LED001458,,Lead,Converted,2025-12-14
CM000204,CMP000029,LED000916,,Lead,Opened,
CM000205,CMP000020,LED003166,,Lead,Clicked,2026-05-05
CM000206,CMP000013,LED003166,,Lead,Clicked,2025-12-05
CM000207,CMP000032,LED001780,,Lead,Sent,
CM000208,CMP000032,LED001780,,Lead,Converted,2025-10-24
CM000209,CMP000006,LED000692,,Lead,Sent,
CM000210,CMP000035,LED000495,,Lead,Attended,2025-07-16
CM000211,CMP000011,LED003886,,Lead,Clicked,2026-03-21
CM000212,CMP000009,LED003601,,Lead,Sent,
CM000213,CMP000002,LED000950,,Lead,Sent,
CM000214,CMP000034,LED000765,,Lead,Attended,2025-06-20
CM000215,CMP000004,LED000409,,Lead,Sent,
CM000216,CMP000001,LED002229,,Lead,Sent,
CM000217,CMP000014,LED003022,,Lead,Opened,
CM000218,CMP000035,LED003741,,Lead,Sent,
CM000219,CMP000019,LED001222,,Lead,Clicked,2026-02-15
CM000220,CMP000017,LED003805,,Lead,Converted,2025-05-11
CM000221,CMP000033,LED000018,,Lead,Sent,
CM000222,CMP000002,LED000018,,Lead,Attended,2025-01-20
CM000223,CMP000035,LED003758,,Lead,Attended,2025-08-05
CM000224,CMP000006,LED002113,,Lead,Attended,2026-03-23
CM000225,CMP000013,LED001188,,Lead,Opened,
CM000226,CMP000031,LED002625,,Lead,Converted,2025-12-04
CM000227,CMP000013,LED001378,,Lead,Converted,2025-11-03
CM000228,CMP000001,LED001352,,Lead,Opened,
CM000229,CMP000008,LED003727,,Lead,Converted,2025-08-27
CM000230,CMP000028,LED003727,,Lead,Converted,2026-06-29
CM000231,CMP000026,LED002099,,Lead,Sent,
CM000232,CMP000029,LED000603,,Lead,Opened,
CM000233,CMP000010,LED004190,,Lead,Opened,
CM000234,CMP000035,LED004190,,Lead,Opened,
CM000235,CMP000027,LED003135,,Lead,Sent,
CM000236,CMP000021,LED003135,,Lead,Opened,
CM000237,CMP000027,LED001413,,Lead,Sent,
CM000238,CMP000030,LED001413,,Lead,Opened,
CM000239,CMP000030,LED003785,,Lead,Attended,2026-05-27
CM000240,CMP000010,LED000070,,Lead,Opened,
CM000241,CMP000011,LED003777,,Lead,Attended,2026-05-21
CM000242,CMP000032,LED001000,,Lead,Opened,
CM000243,CMP000015,LED001000,,Lead,Attended,2025-10-31
CM000244,CMP000030,LED002790,,Lead,Opened,
CM000245,CMP000036,LED002790,,Lead,Clicked,2025-11-19
CM000246,CMP000025,LED001322,,Lead,Sent,
CM000247,CMP000008,LED000683,,Lead,Opened,
CM000248,CMP000027,LED003850,,Lead,Clicked,2026-07-24
CM000249,CMP000012,LED003850,,Lead,Sent,
CM000250,CMP000008,LED003850,,Lead,Opened,
CM000251,CMP000011,LED003058,,Lead,Converted,2026-03-07
CM000252,CMP000035,LED002203,,Lead,Converted,2025-07-17
CM000253,CMP000035,LED003464,,Lead,Opened,
CM000254,CMP000023,LED002857,,Lead,Clicked,2025-11-05
CM000255,CMP000024,LED000908,,Lead,Sent,
CM000256,CMP000028,LED003099,,Lead,Clicked,2026-06-03
CM000257,CMP000017,LED001053,,Lead,Sent,
CM000258,CMP000036,LED001053,,Lead,Opened,
CM000259,CMP000030,LED001053,,Lead,Opened,
CM000260,CMP000013,LED003555,,Lead,Clicked,2025-10-15
CM000261,CMP000027,LED003761,,Lead,Attended,2026-07-14
CM000262,CMP000018,LED003761,,Lead,Opened,
CM000263,CMP000032,LED002650,,Lead,Sent,
CM000264,CMP000010,LED002650,,Lead,Opened,
CM000265,CMP000012,LED003289,,Lead,Sent,
CM000266,CMP000019,LED001256,,Lead,Sent,
CM000267,CMP000021,LED002006,,Lead,Attended,2025-09-17
CM000268,CMP000034,LED002128,,Lead,Sent,
CM000269,CMP000013,LED004140,,Lead,Sent,
CM000270,CMP000013,LED003376,,Lead,Opened,
CM000271,CMP000028,LED003376,,Lead,Converted,2026-08-19
CM000272,CMP000032,LED000747,,Lead,Sent,
CM000273,CMP000020,LED000747,,Lead,Attended,2026-04-17
CM000274,CMP000016,LED000197,,Lead,Converted,2026-01-11
CM000275,CMP000027,LED002624,,Lead,Opened,
CM000276,CMP000015,LED000721,,Lead,Sent,
CM000277,CMP000011,LED002357,,Lead,Attended,2026-05-13
CM000278,CMP000032,LED002357,,Lead,Attended,2025-12-08
CM000279,CMP000020,LED002940,,Lead,Attended,2026-04-06
CM000280,CMP000031,LED002766,,Lead,Opened,
CM000281,CMP000034,LED000015,,Lead,Converted,2025-07-10
CM000282,CMP000015,LED000677,,Lead,Sent,
CM000283,CMP000027,LED004200,,Lead,Sent,
CM000284,CMP000006,LED004200,,Lead,Opened,
CM000285,CMP000004,LED004200,,Lead,Clicked,2026-06-04
CM000286,CMP000004,LED002092,,Lead,Clicked,2026-03-17
CM000287,CMP000030,LED001477,,Lead,Sent,
CM000288,CMP000001,LED002987,,Lead,Sent,
CM000289,CMP000003,LED000977,,Lead,Attended,2026-03-11
CM000290,CMP000020,LED000977,,Lead,Clicked,2026-02-18
CM000291,CMP000028,LED002760,,Lead,Clicked,2026-07-26
CM000292,CMP000013,LED002760,,Lead,Sent,
CM000293,CMP000012,LED000808,,Lead,Sent,
CM000294,CMP000015,LED000808,,Lead,Sent,
CM000295,CMP000010,LED001840,,Lead,Clicked,2025-12-15
CM000296,CMP000019,LED004012,,Lead,Sent,
CM000297,CMP000005,LED003742,,Lead,Converted,2025-03-19
CM000298,CMP000019,LED002365,,Lead,Sent,
CM000299,CMP000021,LED001733,,Lead,Opened,
CM000300,CMP000017,LED001733,,Lead,Attended,2025-02-27
CM000301,CMP000004,LED001804,,Lead,Opened,
CM000302,CMP000013,LED001394,,Lead,Sent,
CM000303,CMP000032,LED003716,,Lead,Clicked,2025-12-08
CM000304,CMP000033,LED003716,,Lead,Converted,2025-10-20
CM000305,CMP000036,LED002642,,Lead,Sent,
CM000306,CMP000013,LED001430,,Lead,Sent,
CM000307,CMP000015,LED004081,,Lead,Clicked,2025-10-19
CM000308,CMP000010,LED002801,,Lead,Converted,2025-11-15
CM000309,CMP000032,LED003505,,Lead,Attended,2025-10-23
CM000310,CMP000021,LED000331,,Lead,Sent,
CM000311,CMP000019,LED000502,,Lead,Sent,
CM000312,CMP000018,LED000309,,Lead,Sent,
CM000313,CMP000007,LED000651,,Lead,Sent,
CM000314,CMP000023,LED003638,,Lead,Sent,
CM000315,CMP000005,LED003638,,Lead,Clicked,2025-02-28
CM000316,CMP000023,LED001954,,Lead,Opened,
CM000317,CMP000027,LED001954,,Lead,Converted,2026-07-18
CM000318,CMP000020,LED001339,,Lead,Opened,
CM000319,CMP000018,LED000319,,Lead,Sent,
CM000320,CMP000019,LED003210,,Lead,Opened,
CM000321,CMP000035,LED003210,,Lead,Opened,
CM000322,CMP000029,LED000239,,Lead,Opened,
CM000323,CMP000013,LED003698,,Lead,Sent,
CM000324,CMP000031,LED002024,,Lead,Sent,
CM000325,CMP000010,LED002024,,Lead,Converted,2026-01-25
CM000326,CMP000031,LED003419,,Lead,Opened,
CM000327,CMP000018,LED001236,,Lead,Sent,
CM000328,CMP000005,LED002023,,Lead,Clicked,2025-03-18
CM000329,CMP000006,LED002023,,Lead,Sent,
CM000330,CMP000015,LED001513,,Lead,Clicked,2025-09-27
CM000331,CMP000017,LED001076,,Lead,Opened,
CM000332,CMP000027,LED002659,,Lead,Sent,
CM000333,CMP000036,LED002659,,Lead,Sent,
CM000334,CMP000026,LED002497,,Lead,Sent,
CM000335,CMP000010,LED002497,,Lead,Converted,2025-11-30
CM000336,CMP000024,LED003816,,Lead,Converted,2025-09-10
CM000337,CMP000026,LED001072,,Lead,Sent,
CM000338,CMP000020,LED001072,,Lead,Sent,
CM000339,CMP000018,LED003910,,Lead,Sent,
CM000340,CMP000024,LED000133,,Lead,Clicked,2025-10-02
CM000341,CMP000010,LED002464,,Lead,Opened,
CM000342,CMP000020,LED002160,,Lead,Opened,
CM000343,CMP000028,LED003385,,Lead,Sent,
CM000344,CMP000018,LED003330,,Lead,Clicked,2025-06-28
CM000345,CMP000024,LED000904,,Lead,Sent,
CM000346,CMP000003,LED000904,,Lead,Converted,2026-06-05
CM000347,CMP000002,LED000830,,Lead,Clicked,2025-01-31
CM000348,CMP000033,LED001109,,Lead,Opened,
CM000349,CMP000015,LED001109,,Lead,Opened,
CM000350,CMP000020,LED000719,,Lead,Attended,2026-05-12
CM000351,CMP000032,LED000719,,Lead,Sent,
CM000352,CMP000036,LED000719,,Lead,Opened,
CM000353,CMP000030,LED002546,,Lead,Sent,
CM000354,CMP000036,LED001221,,Lead,Clicked,2026-01-11
CM000355,CMP000006,LED002789,,Lead,Sent,
CM000356,CMP000004,LED000756,,Lead,Sent,
CM000357,CMP000033,LED000756,,Lead,Sent,
CM000358,CMP000032,LED000970,,Lead,Sent,
CM000359,CMP000009,LED002335,,Lead,Sent,
CM000360,CMP000026,LED002335,,Lead,Sent,
CM000361,CMP000032,LED002286,,Lead,Opened,
CM000362,CMP000031,LED001346,,Lead,Clicked,2026-01-11
CM000363,CMP000007,LED001346,,Lead,Attended,2026-01-20
CM000364,CMP000018,LED003648,,Lead,Opened,
CM000365,CMP000006,LED001374,,Lead,Sent,
CM000366,CMP000025,LED003071,,Lead,Sent,
CM000367,CMP000001,LED000367,,Lead,Opened,
CM000368,CMP000032,LED001445,,Lead,Clicked,2025-12-19
CM000369,CMP000010,LED001445,,Lead,Opened,
CM000370,CMP000014,LED003860,,Lead,Sent,
CM000371,CMP000031,LED002630,,Lead,Clicked,2025-12-16
CM000372,CMP000008,LED002630,,Lead,Attended,2025-11-13
CM000373,CMP000010,LED000135,,Lead,Sent,
CM000374,CMP000014,LED001405,,Lead,Attended,2025-03-27
CM000375,CMP000034,LED002958,,Lead,Sent,
CM000376,CMP000004,LED002958,,Lead,Sent,
CM000377,CMP000034,LED001753,,Lead,Opened,
CM000378,CMP000014,LED002802,,Lead,Attended,2025-03-24
CM000379,CMP000002,LED000585,,Lead,Clicked,2025-03-15
CM000380,CMP000033,LED001789,,Lead,Sent,
CM000381,CMP000033,LED001018,,Lead,Sent,
CM000382,CMP000012,LED001018,,Lead,Sent,
CM000383,CMP000013,LED003436,,Lead,Converted,2025-10-10
CM000384,CMP000036,LED000033,,Lead,Opened,
CM000385,CMP000018,LED002380,,Lead,Attended,2025-07-23
CM000386,CMP000031,LED003356,,Lead,Converted,2025-12-03
CM000387,CMP000025,LED001776,,Lead,Attended,2025-08-22
CM000388,CMP000035,LED003047,,Lead,Converted,2025-08-13
CM000389,CMP000020,LED003047,,Lead,Sent,
CM000390,CMP000008,LED002677,,Lead,Opened,
CM000391,CMP000031,LED003631,,Lead,Sent,
CM000392,CMP000012,LED002294,,Lead,Sent,
CM000393,CMP000027,LED002699,,Lead,Sent,
CM000394,CMP000007,LED001867,,Lead,Opened,
CM000395,CMP000027,LED001867,,Lead,Opened,
CM000396,CMP000016,LED003833,,Lead,Converted,2026-02-28
CM000397,CMP000025,LED001367,,Lead,Sent,
CM000398,CMP000008,LED001581,,Lead,Clicked,2025-09-07
CM000399,CMP000036,LED001663,,Lead,Clicked,2025-11-29
CM000400,CMP000010,LED001663,,Lead,Opened,
CM000401,CMP000013,LED000889,,Lead,Converted,2025-09-30
CM000402,CMP000003,LED001673,,Lead,Sent,
CM000403,CMP000018,LED002341,,Lead,Opened,
CM000404,CMP000030,LED002231,,Lead,Sent,
CM000405,CMP000008,LED002105,,Lead,Attended,2025-10-03
CM000406,CMP000013,LED002105,,Lead,Converted,2025-10-21
CM000407,CMP000021,LED002742,,Lead,Converted,2025-09-29
CM000408,CMP000002,LED000230,,Lead,Opened,
CM000409,CMP000020,LED000230,,Lead,Converted,2026-03-12
CM000410,CMP000002,LED001469,,Lead,Opened,
CM000411,CMP000003,LED002997,,Lead,Converted,2026-05-17
CM000412,CMP000019,LED000171,,Lead,Opened,
CM000413,CMP000008,LED003454,,Lead,Opened,
CM000414,CMP000025,LED002488,,Lead,Opened,
CM000415,CMP000001,LED004102,,Lead,Clicked,2025-12-09
CM000416,CMP000015,LED004102,,Lead,Clicked,2025-08-05
CM000417,CMP000003,LED003094,,Lead,Sent,
CM000418,CMP000012,LED003094,,Lead,Sent,
CM000419,CMP000023,LED002030,,Lead,Sent,
CM000420,CMP000008,LED000512,,Lead,Clicked,2025-08-29
CM000421,CMP000022,LED003367,,Lead,Sent,
CM000422,CMP000002,LED003367,,Lead,Sent,
CM000423,CMP000016,LED000577,,Lead,Sent,
CM000424,CMP000003,LED002926,,Lead,Sent,
CM000425,CMP000033,LED000786,,Lead,Opened,
CM000426,CMP000002,LED001097,,Lead,Sent,
CM000427,CMP000011,LED003389,,Lead,Sent,
CM000428,CMP000006,LED003389,,Lead,Attended,2026-04-12
CM000429,CMP000006,LED003794,,Lead,Clicked,2026-04-06
CM000430,CMP000001,LED001516,,Lead,Sent,
CM000431,CMP000009,LED001516,,Lead,Opened,
CM000432,CMP000018,LED000046,,Lead,Sent,
CM000433,CMP000015,LED000507,,Lead,Sent,
CM000434,CMP000017,LED002179,,Lead,Sent,
CM000435,CMP000031,LED001208,,Lead,Sent,
CM000436,CMP000019,LED001208,,Lead,Converted,2026-01-29
CM000437,CMP000017,LED000044,,Lead,Opened,
CM000438,CMP000011,LED003518,,Lead,Attended,2026-03-30
CM000439,CMP000022,LED001323,,Lead,Sent,
CM000440,CMP000031,LED002986,,Lead,Sent,
CM000441,CMP000035,LED002770,,Lead,Sent,
CM000442,CMP000032,LED002290,,Lead,Opened,
CM000443,CMP000020,LED004013,,Lead,Sent,
CM000444,CMP000011,LED004013,,Lead,Opened,
CM000445,CMP000009,LED000552,,Lead,Attended,2026-02-28
CM000446,CMP000012,LED002837,,Lead,Clicked,2025-11-12
CM000447,CMP000016,LED001234,,Lead,Opened,
CM000448,CMP000036,LED001234,,Lead,Opened,
CM000449,CMP000033,LED000252,,Lead,Opened,
CM000450,CMP000035,LED003810,,Lead,Converted,2025-07-18
CM000451,CMP000025,LED003745,,Lead,Sent,
CM000452,CMP000009,LED003745,,Lead,Clicked,2026-01-15
CM000453,CMP000028,LED000844,,Lead,Sent,
CM000454,CMP000009,LED003898,,Lead,Opened,
CM000455,CMP000025,LED000911,,Lead,Opened,
CM000456,CMP000002,LED000911,,Lead,Converted,2025-03-14
CM000457,CMP000033,LED003346,,Lead,Sent,
CM000458,CMP000004,LED003346,,Lead,Attended,2026-06-11
CM000459,CMP000010,LED000326,,Lead,Sent,
CM000460,CMP000001,LED000326,,Lead,Opened,
CM000461,CMP000036,LED002881,,Lead,Opened,
CM000462,CMP000033,LED002527,,Lead,Opened,
CM000463,CMP000016,LED000464,,Lead,Clicked,2026-01-30
CM000464,CMP000034,LED000464,,Lead,Converted,2025-07-04
CM000465,CMP000023,LED002087,,Lead,Sent,
CM000466,CMP000015,LED002132,,Lead,Sent,
CM000467,CMP000019,LED001175,,Lead,Opened,
CM000468,CMP000026,LED000745,,Lead,Converted,2026-04-21
CM000469,CMP000028,LED000745,,Lead,Sent,
CM000470,CMP000020,LED003545,,Lead,Converted,2026-03-20
CM000471,CMP000022,LED001843,,Lead,Sent,
CM000472,CMP000029,LED001843,,Lead,Opened,
CM000473,CMP000026,LED001039,,Lead,Attended,2026-02-18
CM000474,CMP000015,LED001039,,Lead,Sent,
CM000475,CMP000002,LED002415,,Lead,Clicked,2025-02-15
CM000476,CMP000021,LED003012,,Lead,Attended,2025-08-27
CM000477,CMP000022,LED001748,,Lead,Opened,
CM000478,CMP000008,LED000310,,Lead,Attended,2025-10-15
CM000479,CMP000020,LED000310,,Lead,Attended,2026-03-30
CM000480,CMP000012,LED002836,,Lead,Attended,2025-11-02
CM000481,CMP000008,LED001778,,Lead,Clicked,2025-11-11
CM000482,CMP000025,LED001778,,Lead,Sent,
CM000483,CMP000021,LED003300,,Lead,Opened,
CM000484,CMP000005,LED002054,,Lead,Sent,
CM000485,CMP000016,LED003703,,Lead,Opened,
CM000486,CMP000014,LED003703,,Lead,Opened,
CM000487,CMP000005,LED002241,,Lead,Sent,
CM000488,CMP000010,LED003103,,Lead,Sent,
CM000489,CMP000014,LED003103,,Lead,Sent,
CM000490,CMP000005,LED000804,,Lead,Sent,
CM000491,CMP000020,LED000496,,Lead,Attended,2026-05-14
CM000492,CMP000001,LED000496,,Lead,Sent,
