sync_error_id,created_date,source_system,target_system,object_type,object_id,error_type,severity,status,days_to_resolve
SYN000082,2025-09-18,Salesforce,HubSpot,Lead,LED000929,Required Field Missing,Medium,Open,
SYN000083,2025-10-28,Salesforce,HubSpot,Lead,LED001802,Required Field Missing,Medium,Open,
SYN000084,2025-02-19,Salesforce,HubSpot,Lead,LED001154,Required Field Missing,Medium,Ignored,
SYN000085,2025-11-15,Salesforce,HubSpot,Lead,LED003537,Required Field Missing,High,Open,
SYN000086,2026-05-26,Salesforce,HubSpot,Lead,LED000645,Required Field Missing,Medium,Resolved,21.0
SYN000087,2025-01-10,Salesforce,HubSpot,Lead,LED003809,Required Field Missing,High,Open,
SYN000088,2025-04-21,Salesforce,HubSpot,Lead,LED002921,Required Field Missing,Medium,Resolved,3.0
SYN000089,2026-02-23,Salesforce,HubSpot,Lead,LED003301,Required Field Missing,High,Resolved,1.0
SYN000090,2026-06-22,Salesforce,HubSpot,Lead,LED000460,Required Field Missing,Medium,Resolved,7.0
SYN000091,2026-04-13,Salesforce,HubSpot,Lead,LED002427,Required Field Missing,Medium,Open,
SYN000092,2025-03-17,Salesforce,HubSpot,Lead,LED003569,Required Field Missing,High,Open,
SYN000093,2025-11-15,Salesforce,HubSpot,Lead,LED003689,Required Field Missing,High,Open,
SYN000094,2026-06-25,Salesforce,HubSpot,Lead,LED004063,Required Field Missing,High,Resolved,7.0
SYN000095,2026-03-16,Salesforce,HubSpot,Lead,LED000028,Required Field Missing,High,Resolved,10.0
SYN000096,2025-02-11,Salesforce,HubSpot,Lead,LED000473,Required Field Missing,Medium,Open,
SYN000097,2026-06-14,Salesforce,HubSpot,Lead,LED000788,Required Field Missing,High,Resolved,3.0
SYN000098,2025-11-03,Salesforce,HubSpot,Lead,LED002362,Required Field Missing,High,Resolved,5.0
SYN000099,2026-04-04,Salesforce,HubSpot,Lead,LED000379,Required Field Missing,Medium,Resolved,14.0
SYN000100,2025-12-22,Salesforce,HubSpot,Lead,LED003082,Required Field Missing,High,Open,
SYN000101,2025-08-30,Salesforce,HubSpot,Lead,LED001339,Required Field Missing,Medium,Resolved,5.0
SYN000102,2026-03-18,Salesforce,HubSpot,Lead,LED003740,Required Field Missing,High,Open,
SYN000103,2026-02-23,Salesforce,HubSpot,Lead,LED001946,Required Field Missing,Medium,Open,
SYN000104,2025-09-30,Salesforce,HubSpot,Lead,LED000063,Required Field Missing,Medium,Open,
SYN000105,2025-11-30,Salesforce,HubSpot,Lead,LED001568,Required Field Missing,Medium,Open,
SYN000106,2025-10-29,Salesforce,HubSpot,Lead,LED002528,Required Field Missing,Medium,Resolved,5.0
SYN000107,2026-06-05,Salesforce,HubSpot,Lead,LED004165,Required Field Missing,Medium,Open,
SYN000108,2026-05-30,Salesforce,HubSpot,Lead,LED002746,Required Field Missing,High,Open,
SYN000109,2025-12-22,Salesforce,HubSpot,Lead,LED001823,Required Field Missing,High,Resolved,1.0
SYN000110,2025-05-05,Salesforce,HubSpot,Lead,LED003577,Required Field Missing,High,Open,
SYN000111,2025-02-25,Salesforce,HubSpot,Lead,LED002652,Required Field Missing,Medium,Open,
SYN000112,2025-08-22,Salesforce,HubSpot,Lead,LED001812,Required Field Missing,Medium,Ignored,
SYN000113,2026-06-22,Salesforce,HubSpot,Lead,LED003942,Required Field Missing,High,Resolved,2.0
SYN000114,2025-11-29,Salesforce,HubSpot,Lead,LED000609,Required Field Missing,Medium,Resolved,5.0
SYN000115,2026-04-11,Salesforce,HubSpot,Lead,LED002447,Required Field Missing,Medium,Resolved,10.0
SYN000116,2025-02-18,Salesforce,HubSpot,Lead,LED001927,Required Field Missing,Medium,Open,
SYN000117,2026-03-20,Salesforce,HubSpot,Lead,LED003504,Required Field Missing,Medium,Ignored,
SYN000118,2025-03-31,Salesforce,HubSpot,Lead,LED001436,Required Field Missing,High,Open,
SYN000119,2025-08-12,Salesforce,HubSpot,Lead,LED003517,Required Field Missing,Medium,Resolved,5.0
SYN000120,2025-11-23,Salesforce,HubSpot,Lead,LED002338,Required Field Missing,Medium,Resolved,2.0
SYN000121,2025-08-22,Salesforce,HubSpot,Lead,LED000288,Required Field Missing,High,Open,
SYN000122,2025-02-21,Salesforce,HubSpot,Lead,LED001533,Required Field Missing,Medium,Resolved,3.0
SYN000123,2026-02-28,Salesforce,HubSpot,Lead,LED003834,Required Field Missing,Medium,Open,
SYN000124,2025-06-07,Salesforce,HubSpot,Lead,LED001999,Required Field Missing,Medium,Open,
SYN000125,2026-03-18,Salesforce,HubSpot,Lead,LED000569,Required Field Missing,High,Resolved,10.0
SYN000126,2025-11-01,Salesforce,HubSpot,Lead,LED003386,Required Field Missing,Medium,Resolved,2.0
SYN000127,2025-03-22,Salesforce,HubSpot,Lead,LED001235,Required Field Missing,High,Open,
SYN000128,2025-06-30,Salesforce,HubSpot,Lead,LED001566,Required Field Missing,High,Open,
SYN000129,2026-02-22,Salesforce,HubSpot,Lead,LED001958,Required Field Missing,Medium,Open,
SYN000130,2026-02-27,Salesforce,HubSpot,Lead,LED002135,Required Field Missing,Medium,Open,
SYN000131,2025-02-15,Salesforce,HubSpot,Lead,LED000582,Required Field Missing,High,Open,
SYN000132,2025-04-19,Salesforce,HubSpot,Lead,LED001301,Required Field Missing,Medium,Resolved,2.0
SYN000133,2025-09-07,Salesforce,HubSpot,Lead,LED002288,Required Field Missing,High,Resolved,1.0
SYN000134,2026-01-08,Salesforce,HubSpot,Lead,LED000772,Required Field Missing,High,Resolved,3.0
SYN000135,2025-11-10,Salesforce,HubSpot,Lead,LED003050,Required Field Missing,Medium,Open,
SYN000136,2026-06-28,Salesforce,HubSpot,Lead,LED001826,Required Field Missing,High,Resolved,14.0
SYN000137,2026-03-05,Salesforce,HubSpot,Lead,LED003719,Required Field Missing,Medium,Resolved,2.0
SYN000138,2025-06-25,Salesforce,HubSpot,Lead,LED000944,Required Field Missing,High,Open,
SYN000139,2025-01-17,Salesforce,HubSpot,Lead,LED000900,Required Field Missing,Medium,Open,
SYN000140,2025-03-04,Salesforce,HubSpot,Lead,LED003824,Required Field Missing,Medium,Resolved,2.0
SYN000141,2026-03-26,Salesforce,HubSpot,Lead,LED001146,Required Field Missing,High,Ignored,
SYN000142,2025-06-08,Salesforce,HubSpot,Lead,LED001630,Required Field Missing,High,Resolved,1.0
SYN000143,2025-06-06,Salesforce,HubSpot,Lead,LED000283,Required Field Missing,Medium,Resolved,1.0
SYN000144,2025-05-28,Salesforce,HubSpot,Lead,LED000583,Required Field Missing,High,Open,
SYN000145,2025-06-26,Salesforce,HubSpot,Lead,LED000038,Required Field Missing,High,Open,
SYN000146,2026-06-14,Salesforce,HubSpot,Lead,LED003523,Required Field Missing,High,Open,
SYN000147,2025-01-23,Salesforce,HubSpot,Lead,LED000497,Required Field Missing,High,Resolved,3.0
SYN000148,2025-05-07,Salesforce,HubSpot,Lead,LED000030,Required Field Missing,Medium,Open,
SYN000149,2025-08-26,Salesforce,HubSpot,Lead,LED003801,Required Field Missing,Medium,Open,
SYN000150,2025-08-20,Salesforce,HubSpot,Lead,LED000396,Required Field Missing,High,Resolved,2.0
SYN000151,2026-06-18,Salesforce,HubSpot,Lead,LED000094,Required Field Missing,Medium,Resolved,1.0
SYN000152,2025-03-16,Salesforce,HubSpot,Lead,LED002563,Required Field Missing,High,Open,
SYN000153,2026-05-01,Salesforce,HubSpot,Lead,LED001263,Required Field Missing,High,Open,
SYN000154,2025-02-12,Salesforce,HubSpot,Lead,LED001171,Required Field Missing,Medium,Resolved,5.0
SYN000155,2025-03-11,Salesforce,HubSpot,Lead,LED003401,Required Field Missing,Medium,Resolved,5.0
SYN000156,2025-07-22,Salesforce,HubSpot,Lead,LED003224,Required Field Missing,Medium,Resolved,1.0
SYN000157,2025-06-21,Salesforce,HubSpot,Lead,LED000700,Required Field Missing,Medium,Resolved,2.0
SYN000158,2025-05-03,Salesforce,HubSpot,Lead,LED003860,Required Field Missing,High,Open,
SYN000159,2025-08-16,Salesforce,HubSpot,Lead,LED004089,Required Field Missing,Medium,Open,
SYN000160,2025-10-21,Salesforce,HubSpot,Lead,LED001720,Required Field Missing,Medium,Resolved,5.0
SYN000161,2025-07-18,Salesforce,HubSpot,Lead,LED000183,Required Field Missing,High,Resolved,2.0
SYN000162,2025-04-24,Salesforce,HubSpot,Lead,LED003500,Required Field Missing,Medium,Resolved,1.0
SYN000163,2026-03-26,Salesforce,HubSpot,Lead,LED001816,Required Field Missing,High,Resolved,10.0
SYN000164,2026-02-19,Salesforce,HubSpot,Lead,LED002749,Required Field Missing,High,Resolved,7.0
SYN000165,2025-10-24,Salesforce,HubSpot,Lead,LED001909,Required Field Missing,High,Open,
SYN000166,2025-09-24,Salesforce,HubSpot,Lead,LED004031,Required Field Missing,High,Resolved,21.0
SYN000167,2025-07-13,Salesforce,HubSpot,Lead,LED003574,Required Field Missing,Medium,Open,
SYN000168,2025-06-03,Salesforce,HubSpot,Lead,LED000139,Required Field Missing,Medium,Open,
SYN000169,2025-04-04,Salesforce,HubSpot,Lead,LED002626,Required Field Missing,Medium,Resolved,3.0
SYN000170,2026-01-04,Salesforce,HubSpot,Lead,LED002866,Required Field Missing,High,Ignored,
SYN000171,2026-06-25,Salesforce,HubSpot,Lead,LED003244,Required Field Missing,High,Resolved,14.0
SYN000172,2025-09-20,Salesforce,HubSpot,Lead,LED001249,Required Field Missing,High,Resolved,2.0
SYN000173,2026-04-11,Salesforce,HubSpot,Lead,LED001772,Required Field Missing,Medium,Open,
SYN000174,2025-12-14,Salesforce,HubSpot,Lead,LED002350,Required Field Missing,High,Open,
SYN000175,2026-04-18,Salesforce,HubSpot,Lead,LED003757,Required Field Missing,High,Open,
SYN000176,2025-06-19,Salesforce,HubSpot,Lead,LED001670,Required Field Missing,High,Resolved,3.0
SYN000177,2025-09-18,Salesforce,HubSpot,Lead,LED003022,Required Field Missing,Medium,Open,
SYN000178,2025-09-08,Salesforce,HubSpot,Lead,LED000181,Required Field Missing,High,Resolved,3.0
SYN000179,2026-01-15,Salesforce,HubSpot,Lead,LED004017,Required Field Missing,Medium,Open,
SYN000180,2025-10-30,Salesforce,HubSpot,Lead,LED000965,Required Field Missing,High,Open,
SYN000181,2026-06-27,Salesforce,HubSpot,Lead,LED000714,Required Field Missing,Medium,Open,
SYN000182,2026-01-27,Salesforce,HubSpot,Lead,LED003773,Required Field Missing,High,Open,
SYN000183,2025-06-21,Salesforce,HubSpot,Lead,LED003944,Required Field Missing,High,Resolved,5.0
SYN000184,2025-08-07,Salesforce,HubSpot,Lead,LED003358,Required Field Missing,High,Ignored,
SYN000185,2025-12-16,Salesforce,HubSpot,Lead,LED000489,Required Field Missing,Medium,Ignored,
SYN000186,2025-09-26,Salesforce,HubSpot,Lead,LED000840,Required Field Missing,Medium,Resolved,1.0
SYN000187,2025-06-17,Salesforce,HubSpot,Lead,LED000041,Required Field Missing,Medium,Open,
SYN000188,2025-03-22,Salesforce,HubSpot,Lead,LED002500,Required Field Missing,Medium,Open,
SYN000189,2026-06-10,Salesforce,HubSpot,Lead,LED003812,Required Field Missing,High,Open,
SYN000190,2025-12-16,Salesforce,HubSpot,Lead,LED002757,Required Field Missing,High,Resolved,1.0
SYN000191,2025-11-24,Salesforce,HubSpot,Lead,LED003261,Required Field Missing,High,Resolved,10.0
SYN000192,2026-05-30,Salesforce,HubSpot,Lead,LED004099,Required Field Missing,High,Resolved,2.0
SYN000193,2026-06-12,Salesforce,HubSpot,Lead,LED001266,Required Field Missing,High,Resolved,10.0
SYN000194,2025-09-29,Salesforce,HubSpot,Lead,LED000963,Required Field Missing,High,Ignored,
SYN000195,2026-03-07,Salesforce,HubSpot,Lead,LED001881,Required Field Missing,Medium,Open,
SYN000196,2026-02-21,Salesforce,HubSpot,Lead,LED003621,Required Field Missing,High,Open,
SYN000197,2025-10-05,Salesforce,HubSpot,Lead,LED001868,Required Field Missing,High,Ignored,
SYN000198,2026-01-19,Salesforce,HubSpot,Lead,LED001687,Required Field Missing,Medium,Resolved,14.0
SYN000199,2026-04-08,Salesforce,HubSpot,Lead,LED000353,Required Field Missing,High,Ignored,
SYN000200,2025-05-29,Salesforce,HubSpot,Lead,LED003915,Required Field Missing,High,Open,
SYN000201,2025-03-25,Salesforce,HubSpot,Lead,LED001465,Required Field Missing,High,Resolved,21.0
SYN000202,2026-02-23,Salesforce,HubSpot,Lead,LED001294,Required Field Missing,High,Resolved,10.0
SYN000203,2026-03-10,Salesforce,HubSpot,Lead,LED001365,Required Field Missing,High,Open,
SYN000204,2025-08-10,Salesforce,HubSpot,Lead,LED003691,Required Field Missing,High,Resolved,5.0
SYN000205,2026-01-01,Salesforce,HubSpot,Lead,LED002260,Required Field Missing,Medium,Open,
SYN000206,2026-01-31,Salesforce,HubSpot,Lead,LED001705,Required Field Missing,Medium,Resolved,5.0
SYN000207,2026-02-08,Salesforce,HubSpot,Lead,LED001362,Required Field Missing,Medium,Open,
SYN000208,2026-06-24,Salesforce,HubSpot,Lead,LED002410,Required Field Missing,High,Resolved,2.0
SYN000209,2025-11-20,Salesforce,HubSpot,Lead,LED003414,Required Field Missing,Medium,Ignored,
SYN000210,2025-07-27,Salesforce,HubSpot,Lead,LED000865,Required Field Missing,Medium,Open,
SYN000211,2025-03-22,Salesforce,HubSpot,Lead,LED003643,Required Field Missing,High,Ignored,
SYN000212,2025-04-25,Salesforce,HubSpot,Lead,LED001912,Required Field Missing,Medium,Ignored,
SYN000213,2025-09-12,Salesforce,HubSpot,Lead,LED001817,Required Field Missing,High,Open,
SYN000214,2026-05-17,Salesforce,HubSpot,Lead,LED000319,Required Field Missing,High,Resolved,14.0
SYN000215,2026-05-24,Salesforce,HubSpot,Lead,LED001694,Required Field Missing,High,Resolved,5.0
SYN000216,2025-05-29,Salesforce,HubSpot,Lead,LED001448,Required Field Missing,High,Open,
SYN000217,2025-07-11,Salesforce,HubSpot,Lead,LED001366,Required Field Missing,High,Open,
SYN000218,2026-01-18,Salesforce,HubSpot,Lead,LED003223,Required Field Missing,High,Resolved,5.0
SYN000219,2026-06-15,Salesforce,HubSpot,Lead,LED003402,Required Field Missing,High,Open,
SYN000220,2025-01-12,Salesforce,HubSpot,Lead,LED002623,Required Field Missing,High,Open,
SYN000221,2025-10-12,Salesforce,HubSpot,Lead,LED001443,Required Field Missing,Medium,Ignored,
SYN000222,2026-05-30,Salesforce,HubSpot,Lead,LED002446,Required Field Missing,High,Open,
SYN000223,2025-03-18,Salesforce,HubSpot,Lead,LED002665,Required Field Missing,Medium,Resolved,1.0
SYN000224,2025-10-25,Salesforce,HubSpot,Lead,LED003311,Required Field Missing,Medium,Open,
SYN000225,2026-06-13,Salesforce,HubSpot,Lead,LED004009,Required Field Missing,High,Resolved,14.0
SYN000226,2025-11-18,Salesforce,HubSpot,Lead,LED003675,Required Field Missing,Medium,Resolved,30.0
SYN000227,2025-09-12,Salesforce,HubSpot,Lead,LED000955,Required Field Missing,High,Open,
SYN000228,2025-01-03,HubSpot,Salesforce,Lead,LED003881,Owner Mapping Failed,High,Open,
SYN000229,2025-08-11,HubSpot,Salesforce,Lead,LED003741,Owner Mapping Failed,High,Resolved,5.0
SYN000230,2025-04-06,HubSpot,Salesforce,Lead,LED002413,Owner Mapping Failed,Medium,Resolved,2.0
SYN000231,2025-08-05,HubSpot,Salesforce,Lead,LED001326,Owner Mapping Failed,Medium,Open,
SYN000232,2025-01-30,HubSpot,Salesforce,Lead,LED002284,Owner Mapping Failed,Medium,Open,
SYN000233,2025-05-13,HubSpot,Salesforce,Lead,LED002648,Owner Mapping Failed,Medium,Resolved,3.0
SYN000234,2025-05-03,HubSpot,Salesforce,Lead,LED000631,Owner Mapping Failed,Medium,Open,
SYN000235,2025-02-18,HubSpot,Salesforce,Lead,LED001151,Owner Mapping Failed,High,Open,
SYN000236,2026-02-20,HubSpot,Salesforce,Lead,LED000715,Owner Mapping Failed,Medium,Ignored,
SYN000237,2025-07-14,HubSpot,Salesforce,Lead,LED002155,Owner Mapping Failed,High,Open,
SYN000238,2026-04-30,HubSpot,Salesforce,Lead,LED001090,Owner Mapping Failed,High,Open,
SYN000239,2025-01-06,HubSpot,Salesforce,Lead,LED001304,Owner Mapping Failed,High,Resolved,5.0
SYN000240,2025-12-20,HubSpot,Salesforce,Lead,LED000724,Owner Mapping Failed,High,Open,
SYN000241,2025-10-08,HubSpot,Salesforce,Lead,LED000475,Owner Mapping Failed,Medium,Resolved,14.0
SYN000242,2025-12-18,HubSpot,Salesforce,Lead,LED000034,Owner Mapping Failed,Medium,Open,
SYN000243,2025-05-04,HubSpot,Salesforce,Lead,LED002640,Owner Mapping Failed,High,Open,
SYN000244,2025-10-30,HubSpot,Salesforce,Lead,LED001604,Owner Mapping Failed,Medium,Open,
SYN000245,2025-10-21,HubSpot,Salesforce,Lead,LED001778,Owner Mapping Failed,High,Open,
SYN000246,2026-03-15,HubSpot,Salesforce,Lead,LED000086,Owner Mapping Failed,High,Open,
SYN000247,2026-06-01,HubSpot,Salesforce,Lead,LED001549,Owner Mapping Failed,High,Resolved,2.0
SYN000248,2026-05-09,HubSpot,Salesforce,Lead,LED003767,Owner Mapping Failed,Medium,Resolved,2.0
SYN000249,2026-06-06,HubSpot,Salesforce,Lead,LED001162,Owner Mapping Failed,High,Ignored,
SYN000250,2025-02-28,HubSpot,Salesforce,Lead,LED003896,Owner Mapping Failed,Medium,Open,
SYN000251,2026-01-05,HubSpot,Salesforce,Lead,LED002435,Owner Mapping Failed,Medium,Resolved,1.0
SYN000252,2026-04-06,HubSpot,Salesforce,Lead,LED002211,Owner Mapping Failed,High,Resolved,14.0
SYN000253,2026-06-11,HubSpot,Salesforce,Lead,LED002897,Owner Mapping Failed,Medium,Resolved,5.0
SYN000254,2025-03-22,HubSpot,Salesforce,Lead,LED002500,Owner Mapping Failed,High,Resolved,5.0
SYN000255,2025-01-14,HubSpot,Salesforce,Lead,LED001843,Owner Mapping Failed,High,Open,
SYN000256,2025-09-20,HubSpot,Salesforce,Lead,LED000719,Owner Mapping Failed,High,Open,
SYN000257,2025-11-06,HubSpot,Salesforce,Lead,LED002465,Owner Mapping Failed,High,Resolved,2.0
SYN000258,2025-09-23,HubSpot,Salesforce,Lead,LED002090,Owner Mapping Failed,Medium,Resolved,1.0
SYN000259,2025-04-22,HubSpot,Salesforce,Lead,LED001837,Owner Mapping Failed,High,Resolved,21.0
SYN000260,2025-01-15,HubSpot,Salesforce,Lead,LED002373,Owner Mapping Failed,Medium,Open,
SYN000261,2026-05-08,HubSpot,Salesforce,Lead,LED002589,Owner Mapping Failed,Medium,Open,
SYN000262,2025-05-06,HubSpot,Salesforce,Lead,LED003978,Owner Mapping Failed,High,Resolved,14.0
SYN000263,2025-01-19,HubSpot,Salesforce,Lead,LED003746,Owner Mapping Failed,Medium,Resolved,3.0
SYN000264,2025-08-01,HubSpot,Salesforce,Lead,LED003526,Owner Mapping Failed,Medium,Ignored,
SYN000265,2026-06-10,HubSpot,Salesforce,Lead,LED003812,Owner Mapping Failed,High,Resolved,1.0
SYN000266,2025-10-21,HubSpot,Salesforce,Lead,LED000149,Owner Mapping Failed,Medium,Resolved,1.0
SYN000267,2025-10-11,HubSpot,Salesforce,Lead,LED004196,Owner Mapping Failed,High,Open,
